Logging
ITERATION 343.0000 | TOTAL G LOSS -8.3942
ITERATION 344.0000 | TOTAL G LOSS -8.4485
ITERATION 345.0000 | TOTAL G LOSS -8.7095
ITERATION 346.0000 | TOTAL G LOSS -8.7855
ITERATION 347.0000 | TOTAL G LOSS -9.0937
ITERATION 348.0000 | TOTAL G LOSS -8.6241
ITERATION 349.0000 | TOTAL G LOSS -8.6221
ITERATION 350.0000 | TOTAL G LOSS -9.4421
ITERATION 351.0000 | TOTAL G LOSS -7.7803
ITERATION 352.0000 | TOTAL G LOSS -9.4981
ITERATION 353.0000 | TOTAL G LOSS -8.9387
ITERATION 354.0000 | TOTAL G LOSS -8.2756
ITERATION 355.0000 | TOTAL G LOSS -8.4587
ITERATION 356.0000 | TOTAL G LOSS -8.4914
ITERATION 357.0000 | TOTAL G LOSS -8.6170
ITERATION 358.0000 | TOTAL G LOSS -7.6305
ITERATION 359.0000 | TOTAL G LOSS -8.6146
ITERATION 360.0000 | TOTAL G LOSS -9.1075
ITERATION 361.0000 | TOTAL G LOSS -8.1150
ITERATION 362.0000 | TOTAL G LOSS -8.7191
ITERATION 363.0000 | TOTAL G LOSS -8.6231
ITERATION 364.0000 | TOTAL G LOSS -8.9240
ITERATION 365.0000 | TOTAL G LOSS -8.2065
ITERATION 366.0000 | TOTAL G LOSS -8.9559
ITERATION 367.0000 | TOTAL G LOSS -8.9839
ITERATION 368.0000 | TOTAL G LOSS -8.9025
ITERATION 369.0000 | TOTAL G LOSS -8.9622
ITERATION 370.0000 | TOTAL G LOSS -8.3728
ITERATION 371.0000 | TOTAL G LOSS -8.2193
ITERATION 372.0000 | TOTAL G LOSS -9.0866
ITERATION 373.0000 | TOTAL G LOSS -8.1795
ITERATION 374.0000 | TOTAL G LOSS -9.4291
ITERATION 375.0000 | TOTAL G LOSS -9.2760
ITERATION 376.0000 | TOTAL G LOSS -8.9893
ITERATION 377.0000 | TOTAL G LOSS -7.4031
ITERATION 378.0000 | TOTAL G LOSS -8.5089
ITERATION 379.0000 | TOTAL G LOSS -7.8469
ITERATION 380.0000 | TOTAL G LOSS -8.1086
ITERATION 381.0000 | TOTAL G LOSS -9.5088
ITERATION 382.0000 | TOTAL G LOSS -8.0601
ITERATION 383.0000 | TOTAL G LOSS -9.1890
ITERATION 384.0000 | TOTAL G LOSS -8.9185
ITERATION 385.0000 | TOTAL G LOSS -8.8076
ITERATION 386.0000 | TOTAL G LOSS -9.0439
ITERATION 387.0000 | TOTAL G LOSS -9.2038
ITERATION 388.0000 | TOTAL G LOSS -7.8024
ITERATION 389.0000 | TOTAL G LOSS -8.6608
ITERATION 390.0000 | TOTAL G LOSS -8.0337
ITERATION 391.0000 | TOTAL G LOSS -8.1211
ITERATION 392.0000 | TOTAL G LOSS -8.3957
ITERATION 393.0000 | TOTAL G LOSS -7.0469
ITERATION 394.0000 | TOTAL G LOSS -7.9149
ITERATION 395.0000 | TOTAL G LOSS -8.3992
ITERATION 396.0000 | TOTAL G LOSS -8.0899
ITERATION 397.0000 | TOTAL G LOSS -7.7222
ITERATION 398.0000 | TOTAL G LOSS -7.6260
