Logging
iteration 10200 | D LOSS = 1.3801 | G LOSS = -0.0255 | AVG R =0.4971 | mean_pen: 0.0001 |  
iteration 10250 | D LOSS = 1.3802 | G LOSS = -0.0311 | AVG R =0.4974 | mean_pen: 0.0001 |  
iteration 10300 | D LOSS = 1.3802 | G LOSS = -0.0364 | AVG R =0.4970 | mean_pen: 0.0001 |  
iteration 10350 | D LOSS = 1.3813 | G LOSS = -0.0387 | AVG R =0.4969 | mean_pen: 0.0001 |  
iteration 10400 | D LOSS = 1.3806 | G LOSS = -0.0406 | AVG R =0.4972 | mean_pen: 0.0001 |  
iteration 10450 | D LOSS = 1.3806 | G LOSS = -0.0289 | AVG R =0.4974 | mean_pen: 0.0001 |  
iteration 10500 | D LOSS = 1.3805 | G LOSS = -0.0408 | AVG R =0.4971 | mean_pen: 0.0001 |  
iteration 10550 | D LOSS = 1.3805 | G LOSS = -0.0387 | AVG R =0.4971 | mean_pen: 0.0001 |  
iteration 10600 | D LOSS = 1.3810 | G LOSS = -0.0307 | AVG R =0.4972 | mean_pen: 0.0001 |  
iteration 10650 | D LOSS = 1.3811 | G LOSS = -0.0372 | AVG R =0.4973 | mean_pen: 0.0001 |  
iteration 10700 | D LOSS = 1.3810 | G LOSS = -0.0328 | AVG R =0.4971 | mean_pen: 0.0001 |  
iteration 10750 | D LOSS = 1.3815 | G LOSS = -0.0186 | AVG R =0.4973 | mean_pen: 0.0001 |  
iteration 10800 | D LOSS = 1.3810 | G LOSS = -0.0340 | AVG R =0.4973 | mean_pen: 0.0001 |  
iteration 10850 | D LOSS = 1.3810 | G LOSS = -0.0377 | AVG R =0.4974 | mean_pen: 0.0001 |  
iteration 10900 | D LOSS = 1.3816 | G LOSS = -0.0342 | AVG R =0.4976 | mean_pen: 0.0001 |  
iteration 10950 | D LOSS = 1.3813 | G LOSS = -0.0270 | AVG R =0.4973 | mean_pen: 0.0001 |  
iteration 11000 | D LOSS = 1.3814 | G LOSS = -0.0300 | AVG R =0.4973 | mean_pen: 0.0001 |  
iteration 11050 | D LOSS = 1.3809 | G LOSS = -0.0248 | AVG R =0.4978 | mean_pen: 0.0001 |  
iteration 11100 | D LOSS = 1.3812 | G LOSS = -0.0246 | AVG R =0.4975 | mean_pen: 0.0001 |  
iteration 11150 | D LOSS = 1.3814 | G LOSS = -0.0197 | AVG R =0.4975 | mean_pen: 0.0001 |  
iteration 11200 | D LOSS = 1.3810 | G LOSS = -0.0186 | AVG R =0.4977 | mean_pen: 0.0001 |  
iteration 11250 | D LOSS = 1.3811 | G LOSS = -0.0284 | AVG R =0.4975 | mean_pen: 0.0001 |  
iteration 11300 | D LOSS = 1.3812 | G LOSS = -0.0362 | AVG R =0.4975 | mean_pen: 0.0001 |  
iteration 11350 | D LOSS = 1.3814 | G LOSS = -0.0232 | AVG R =0.4974 | mean_pen: 0.0001 |  
iteration 11400 | D LOSS = 1.3813 | G LOSS = -0.0252 | AVG R =0.4977 | mean_pen: 0.0001 |  
iteration 11450 | D LOSS = 1.3816 | G LOSS = -0.0298 | AVG R =0.4978 | mean_pen: 0.0001 |  
