Logging
iteration 9600 | D LOSS = 1.1936 | G LOSS = -13547214836072448.0000 | AVG R =0.4008 |  
iteration 9650 | D LOSS = 1.1895 | G LOSS = -14162146778677248.0000 | AVG R =0.4004 |  
iteration 9700 | D LOSS = 1.1941 | G LOSS = -17842932677607424.0000 | AVG R =0.3981 |  
iteration 9750 | D LOSS = 1.1910 | G LOSS = -16091241003352064.0000 | AVG R =0.4019 |  
iteration 9800 | D LOSS = 1.1862 | G LOSS = -20361993273737216.0000 | AVG R =0.4030 |  
iteration 9850 | D LOSS = 1.1870 | G LOSS = -19897529067896832.0000 | AVG R =0.3997 |  
iteration 9900 | D LOSS = 1.1869 | G LOSS = -18078541698564096.0000 | AVG R =0.4006 |  
iteration 9950 | D LOSS = 1.1962 | G LOSS = -29758896386080768.0000 | AVG R =0.4066 |  
iteration 10000 | D LOSS = 1.1937 | G LOSS = -23379016673132544.0000 | AVG R =0.4092 |  
iteration 10050 | D LOSS = 1.1916 | G LOSS = -26030153956065280.0000 | AVG R =0.4052 |  
iteration 10100 | D LOSS = 1.1950 | G LOSS = -34452917683486720.0000 | AVG R =0.4041 |  
iteration 10150 | D LOSS = 1.1880 | G LOSS = -37876698108133376.0000 | AVG R =0.3957 |  
iteration 10200 | D LOSS = 1.1923 | G LOSS = -42621803746557952.0000 | AVG R =0.4028 |  
iteration 10250 | D LOSS = 1.1875 | G LOSS = -33055485649223680.0000 | AVG R =0.4018 |  
iteration 10300 | D LOSS = 1.1908 | G LOSS = -44668424382578688.0000 | AVG R =0.4081 |  
iteration 10350 | D LOSS = 1.1966 | G LOSS = -42860535208738816.0000 | AVG R =0.4088 |  
iteration 10400 | D LOSS = 1.1878 | G LOSS = -60538435915481088.0000 | AVG R =0.3991 |  
iteration 10450 | D LOSS = 1.1999 | G LOSS = -66475248949657600.0000 | AVG R =0.4052 |  
iteration 10500 | D LOSS = 1.1919 | G LOSS = -78836512719896576.0000 | AVG R =0.4034 |  
iteration 10550 | D LOSS = 1.2017 | G LOSS = -71602817130823680.0000 | AVG R =0.4089 |  
iteration 10600 | D LOSS = 1.1946 | G LOSS = -76862425491570688.0000 | AVG R =0.4079 |  
iteration 10650 | D LOSS = 1.1917 | G LOSS = -89813383976583168.0000 | AVG R =0.4035 |  
iteration 10700 | D LOSS = 1.1897 | G LOSS = -102906557418700800.0000 | AVG R =0.4032 |  
iteration 10750 | D LOSS = 1.1896 | G LOSS = -86079562747740160.0000 | AVG R =0.3968 |  
iteration 10800 | D LOSS = 1.1881 | G LOSS = -107257015692165120.0000 | AVG R =0.3993 |  
iteration 10850 | D LOSS = 1.1909 | G LOSS = -115292134998802432.0000 | AVG R =0.4073 |  
iteration 10900 | D LOSS = 1.1917 | G LOSS = -160286324060848128.0000 | AVG R =0.4067 |  
iteration 10950 | D LOSS = 1.1950 | G LOSS = -127552308123795456.0000 | AVG R =0.4074 |  
iteration 11000 | D LOSS = 1.1922 | G LOSS = -156570902471901184.0000 | AVG R =0.4063 |  
iteration 11050 | D LOSS = 1.1926 | G LOSS = -176497145543655424.0000 | AVG R =0.4076 |  
iteration 11100 | D LOSS = 1.1941 | G LOSS = -180794243143434240.0000 | AVG R =0.4057 |  
iteration 11150 | D LOSS = 1.1883 | G LOSS = -222165257924116480.0000 | AVG R =0.4019 |  
iteration 11200 | D LOSS = 1.1907 | G LOSS = -221766873937608704.0000 | AVG R =0.4029 |  
iteration 11250 | D LOSS = 1.2052 | G LOSS = -163321182311940096.0000 | AVG R =0.4110 |  
iteration 11300 | D LOSS = 1.1934 | G LOSS = -225406068446986240.0000 | AVG R =0.4057 |  
iteration 11350 | D LOSS = 1.1895 | G LOSS = -279792586481205248.0000 | AVG R =0.4046 |  
iteration 11400 | D LOSS = 1.1958 | G LOSS = -288021262784004096.0000 | AVG R =0.4009 |  
iteration 11450 | D LOSS = 1.1895 | G LOSS = -292742050317598720.0000 | AVG R =0.3995 |  
