Logging
iteration 8900 | D LOSS = 1.3593 | G LOSS = -2.0149 | AVG R =0.4872 |  
iteration 8950 | D LOSS = 1.3596 | G LOSS = 0.1011 | AVG R =0.4871 |  
iteration 9000 | D LOSS = 1.3600 | G LOSS = 1.0194 | AVG R =0.4863 |  
iteration 9050 | D LOSS = 1.3605 | G LOSS = -1.0442 | AVG R =0.4864 |  
iteration 9100 | D LOSS = 1.3607 | G LOSS = -1.4757 | AVG R =0.4871 |  
iteration 9150 | D LOSS = 1.3598 | G LOSS = -0.1802 | AVG R =0.4870 |  
iteration 9200 | D LOSS = 1.3609 | G LOSS = -1.0172 | AVG R =0.4869 |  
iteration 9250 | D LOSS = 1.3599 | G LOSS = 0.2967 | AVG R =0.4873 |  
iteration 9300 | D LOSS = 1.3599 | G LOSS = -2.9931 | AVG R =0.4873 |  
iteration 9350 | D LOSS = 1.3600 | G LOSS = -1.4859 | AVG R =0.4867 |  
iteration 9400 | D LOSS = 1.3601 | G LOSS = -0.1689 | AVG R =0.4866 |  
iteration 9450 | D LOSS = 1.3601 | G LOSS = 0.0350 | AVG R =0.4863 |  
iteration 9500 | D LOSS = 1.3601 | G LOSS = -1.6681 | AVG R =0.4870 |  
iteration 9550 | D LOSS = 1.3598 | G LOSS = 0.0661 | AVG R =0.4869 |  
iteration 9600 | D LOSS = 1.3601 | G LOSS = 0.2740 | AVG R =0.4868 |  
iteration 9650 | D LOSS = 1.3591 | G LOSS = -2.6338 | AVG R =0.4865 |  
iteration 9700 | D LOSS = 1.3591 | G LOSS = -1.0163 | AVG R =0.4869 |  
iteration 9750 | D LOSS = 1.3585 | G LOSS = 0.3025 | AVG R =0.4856 |  
iteration 9800 | D LOSS = 1.3581 | G LOSS = 0.2865 | AVG R =0.4868 |  
iteration 9850 | D LOSS = 1.3589 | G LOSS = 0.4300 | AVG R =0.4863 |  
iteration 9900 | D LOSS = 1.3591 | G LOSS = 0.4882 | AVG R =0.4866 |  
iteration 9950 | D LOSS = 1.3591 | G LOSS = 0.4426 | AVG R =0.4863 |  
iteration 10000 | D LOSS = 1.3596 | G LOSS = -0.8497 | AVG R =0.4856 |  
iteration 10050 | D LOSS = 1.3587 | G LOSS = -0.6723 | AVG R =0.4872 |  
iteration 10100 | D LOSS = 1.3587 | G LOSS = -0.6859 | AVG R =0.4869 |  
iteration 10150 | D LOSS = 1.3582 | G LOSS = -1.6784 | AVG R =0.4866 |  
iteration 10200 | D LOSS = 1.3581 | G LOSS = 0.0854 | AVG R =0.4860 |  
iteration 10250 | D LOSS = 1.3589 | G LOSS = -1.2820 | AVG R =0.4861 |  
iteration 10300 | D LOSS = 1.3578 | G LOSS = -0.5148 | AVG R =0.4858 |  
iteration 10350 | D LOSS = 1.3568 | G LOSS = 0.2827 | AVG R =0.4859 |  
iteration 10400 | D LOSS = 1.3564 | G LOSS = 1.9395 | AVG R =0.4856 |  
iteration 10450 | D LOSS = 1.3568 | G LOSS = -1.7121 | AVG R =0.4843 |  
iteration 10500 | D LOSS = 1.3547 | G LOSS = -1.3023 | AVG R =0.4846 |  
iteration 10550 | D LOSS = 1.3559 | G LOSS = 0.2445 | AVG R =0.4857 |  
iteration 10600 | D LOSS = 1.3563 | G LOSS = -1.0814 | AVG R =0.4856 |  
iteration 10650 | D LOSS = 1.3552 | G LOSS = 0.3539 | AVG R =0.4851 |  
iteration 10700 | D LOSS = 1.3548 | G LOSS = 0.0570 | AVG R =0.4840 |  
iteration 10750 | D LOSS = 1.3543 | G LOSS = -2.7145 | AVG R =0.4839 |  
iteration 10800 | D LOSS = 1.3546 | G LOSS = -1.3452 | AVG R =0.4848 |  
iteration 10850 | D LOSS = 1.3538 | G LOSS = -1.2035 | AVG R =0.4844 |  
iteration 10900 | D LOSS = 1.3550 | G LOSS = -0.7366 | AVG R =0.4840 |  
iteration 10950 | D LOSS = 1.3546 | G LOSS = -1.3376 | AVG R =0.4832 |  
iteration 11000 | D LOSS = 1.3542 | G LOSS = 0.8674 | AVG R =0.4852 |  
iteration 11050 | D LOSS = 1.3549 | G LOSS = -1.1265 | AVG R =0.4847 |  
iteration 11100 | D LOSS = 1.3544 | G LOSS = -0.8874 | AVG R =0.4842 |  
iteration 11150 | D LOSS = 1.3548 | G LOSS = -0.8563 | AVG R =0.4848 |  
iteration 11200 | D LOSS = 1.3554 | G LOSS = -3.6988 | AVG R =0.4839 |  
iteration 11250 | D LOSS = 1.3550 | G LOSS = -1.5348 | AVG R =0.4848 |  
iteration 11300 | D LOSS = 1.3558 | G LOSS = -2.0152 | AVG R =0.4847 |  
iteration 11350 | D LOSS = 1.3560 | G LOSS = -1.2528 | AVG R =0.4857 |  
iteration 11400 | D LOSS = 1.3570 | G LOSS = -2.1804 | AVG R =0.4851 |  
iteration 11450 | D LOSS = 1.3573 | G LOSS = -2.2425 | AVG R =0.4851 |  
iteration 11500 | D LOSS = 1.3577 | G LOSS = -1.1170 | AVG R =0.4859 |  
iteration 11550 | D LOSS = 1.3566 | G LOSS = -2.9554 | AVG R =0.4858 |  
iteration 11600 | D LOSS = 1.3590 | G LOSS = -2.1965 | AVG R =0.4861 |  
iteration 11650 | D LOSS = 1.3590 | G LOSS = 0.3749 | AVG R =0.4862 |  
iteration 11700 | D LOSS = 1.3568 | G LOSS = -3.1631 | AVG R =0.4856 |  
iteration 11750 | D LOSS = 1.3582 | G LOSS = -3.6560 | AVG R =0.4860 |  
iteration 11800 | D LOSS = 1.3582 | G LOSS = -3.9494 | AVG R =0.4861 |  
iteration 11850 | D LOSS = 1.3578 | G LOSS = -1.9976 | AVG R =0.4866 |  
iteration 11900 | D LOSS = 1.3572 | G LOSS = -3.5219 | AVG R =0.4864 |  
iteration 11950 | D LOSS = 1.3574 | G LOSS = -3.5523 | AVG R =0.4859 |  
iteration 12000 | D LOSS = 1.3593 | G LOSS = -4.1623 | AVG R =0.4863 |  
iteration 12050 | D LOSS = 1.3578 | G LOSS = -0.5275 | AVG R =0.4860 |  
iteration 12100 | D LOSS = 1.3591 | G LOSS = -2.1935 | AVG R =0.4865 |  
iteration 12150 | D LOSS = 1.3597 | G LOSS = -3.7020 | AVG R =0.4863 |  
iteration 12200 | D LOSS = 1.3585 | G LOSS = -3.2540 | AVG R =0.4864 |  
iteration 12250 | D LOSS = 1.3590 | G LOSS = -1.6740 | AVG R =0.4861 |  
iteration 12300 | D LOSS = 1.3581 | G LOSS = -1.3489 | AVG R =0.4862 |  
iteration 12350 | D LOSS = 1.3585 | G LOSS = -2.4819 | AVG R =0.4865 |  
iteration 12400 | D LOSS = 1.3580 | G LOSS = 1.9641 | AVG R =0.4864 |  
iteration 12450 | D LOSS = 1.3593 | G LOSS = -2.0800 | AVG R =0.4866 |  
iteration 12500 | D LOSS = 1.3595 | G LOSS = -3.6884 | AVG R =0.4857 |  
iteration 12550 | D LOSS = 1.3600 | G LOSS = -2.4917 | AVG R =0.4865 |  
