Logging
iteration 10700 | D LOSS = 1.3771 | G LOSS = 0.0182 | AVG R =0.4948 | mean_pen: 0.0000 |  
iteration 10750 | D LOSS = 1.3755 | G LOSS = 0.0190 | AVG R =0.4949 | mean_pen: 0.0000 |  
iteration 10800 | D LOSS = 1.3756 | G LOSS = 0.0191 | AVG R =0.4949 | mean_pen: 0.0000 |  
iteration 10850 | D LOSS = 1.3762 | G LOSS = 0.0297 | AVG R =0.4946 | mean_pen: 0.0000 |  
iteration 10900 | D LOSS = 1.3754 | G LOSS = 0.0296 | AVG R =0.4948 | mean_pen: 0.0000 |  
iteration 10950 | D LOSS = 1.3758 | G LOSS = 0.0232 | AVG R =0.4951 | mean_pen: 0.0000 |  
iteration 11000 | D LOSS = 1.3766 | G LOSS = 0.0159 | AVG R =0.4953 | mean_pen: 0.0000 |  
iteration 11050 | D LOSS = 1.3764 | G LOSS = 0.0294 | AVG R =0.4947 | mean_pen: 0.0000 |  
iteration 11100 | D LOSS = 1.3766 | G LOSS = 0.0404 | AVG R =0.4948 | mean_pen: 0.0000 |  
iteration 11150 | D LOSS = 1.3759 | G LOSS = 0.0216 | AVG R =0.4948 | mean_pen: 0.0000 |  
iteration 11200 | D LOSS = 1.3768 | G LOSS = 0.0377 | AVG R =0.4955 | mean_pen: 0.0000 |  
iteration 11250 | D LOSS = 1.3750 | G LOSS = 0.0135 | AVG R =0.4960 | mean_pen: 0.0000 |  
iteration 11300 | D LOSS = 1.3766 | G LOSS = 0.0247 | AVG R =0.4951 | mean_pen: 0.0000 |  
iteration 11350 | D LOSS = 1.3763 | G LOSS = 0.0404 | AVG R =0.4952 | mean_pen: 0.0000 |  
iteration 11400 | D LOSS = 1.3754 | G LOSS = 0.0416 | AVG R =0.4949 | mean_pen: 0.0000 |  
iteration 11450 | D LOSS = 1.3781 | G LOSS = 0.0260 | AVG R =0.4954 | mean_pen: 0.0000 |  
iteration 11500 | D LOSS = 1.3770 | G LOSS = 0.0372 | AVG R =0.4951 | mean_pen: 0.0000 |  
iteration 11550 | D LOSS = 1.3750 | G LOSS = 0.0279 | AVG R =0.4956 | mean_pen: 0.0000 |  
iteration 11600 | D LOSS = 1.3770 | G LOSS = 0.0425 | AVG R =0.4946 | mean_pen: 0.0000 |  
