Logging
ITERATION 332.0000 | TOTAL G LOSS 2.0898
ITERATION 333.0000 | TOTAL G LOSS 2.9933
ITERATION 334.0000 | TOTAL G LOSS -1.1717
ITERATION 335.0000 | TOTAL G LOSS 3.9936
ITERATION 336.0000 | TOTAL G LOSS 2.3548
ITERATION 337.0000 | TOTAL G LOSS 1.0800
ITERATION 338.0000 | TOTAL G LOSS -0.8649
ITERATION 339.0000 | TOTAL G LOSS 2.7708
ITERATION 340.0000 | TOTAL G LOSS 2.5338
ITERATION 341.0000 | TOTAL G LOSS 3.6218
ITERATION 342.0000 | TOTAL G LOSS 0.8473
ITERATION 343.0000 | TOTAL G LOSS 3.0042
ITERATION 344.0000 | TOTAL G LOSS 2.8029
ITERATION 345.0000 | TOTAL G LOSS 3.8933
ITERATION 346.0000 | TOTAL G LOSS 2.5078
ITERATION 347.0000 | TOTAL G LOSS 5.7663
ITERATION 348.0000 | TOTAL G LOSS 2.1073
ITERATION 349.0000 | TOTAL G LOSS 1.3674
ITERATION 350.0000 | TOTAL G LOSS 4.6432
ITERATION 351.0000 | TOTAL G LOSS 4.6884
ITERATION 352.0000 | TOTAL G LOSS 3.1072
ITERATION 353.0000 | TOTAL G LOSS 2.6557
ITERATION 354.0000 | TOTAL G LOSS 4.5418
ITERATION 355.0000 | TOTAL G LOSS 3.9440
ITERATION 356.0000 | TOTAL G LOSS 1.4387
ITERATION 357.0000 | TOTAL G LOSS 6.8355
ITERATION 358.0000 | TOTAL G LOSS 4.5967
ITERATION 359.0000 | TOTAL G LOSS 4.7211
ITERATION 360.0000 | TOTAL G LOSS 5.3167
ITERATION 361.0000 | TOTAL G LOSS 8.2221
ITERATION 362.0000 | TOTAL G LOSS 3.0018
ITERATION 363.0000 | TOTAL G LOSS 4.7658
ITERATION 364.0000 | TOTAL G LOSS 4.5364
ITERATION 365.0000 | TOTAL G LOSS 5.9154
ITERATION 366.0000 | TOTAL G LOSS 3.4552
ITERATION 367.0000 | TOTAL G LOSS 5.8862
ITERATION 368.0000 | TOTAL G LOSS 6.5781
