Logging
iteration 7700 | D LOSS = 1.3770 | G LOSS = -0.0467 | AVG R =0.4957 | mean_pen: 0.0000 |  
iteration 7750 | D LOSS = 1.3772 | G LOSS = -0.0458 | AVG R =0.4962 | mean_pen: 0.0000 |  
iteration 7800 | D LOSS = 1.3786 | G LOSS = -0.0359 | AVG R =0.4962 | mean_pen: 0.0000 |  
iteration 7850 | D LOSS = 1.3785 | G LOSS = -0.0534 | AVG R =0.4960 | mean_pen: 0.0000 |  
iteration 7900 | D LOSS = 1.3786 | G LOSS = -0.0307 | AVG R =0.4958 | mean_pen: 0.0000 |  
iteration 7950 | D LOSS = 1.3785 | G LOSS = -0.0363 | AVG R =0.4958 | mean_pen: 0.0000 |  
iteration 8000 | D LOSS = 1.3789 | G LOSS = -0.0468 | AVG R =0.4958 | mean_pen: 0.0000 |  
iteration 8050 | D LOSS = 1.3777 | G LOSS = -0.0280 | AVG R =0.4958 | mean_pen: 0.0000 |  
iteration 8100 | D LOSS = 1.3782 | G LOSS = -0.0404 | AVG R =0.4960 | mean_pen: 0.0000 |  
iteration 8150 | D LOSS = 1.3783 | G LOSS = -0.0555 | AVG R =0.4955 | mean_pen: 0.0000 |  
iteration 8200 | D LOSS = 1.3769 | G LOSS = -0.0585 | AVG R =0.4958 | mean_pen: 0.0000 |  
iteration 8250 | D LOSS = 1.3781 | G LOSS = -0.0481 | AVG R =0.4963 | mean_pen: 0.0000 |  
iteration 8300 | D LOSS = 1.3778 | G LOSS = -0.0467 | AVG R =0.4960 | mean_pen: 0.0000 |  
iteration 8350 | D LOSS = 1.3793 | G LOSS = -0.0437 | AVG R =0.4952 | mean_pen: 0.0000 |  
iteration 8400 | D LOSS = 1.3772 | G LOSS = -0.0490 | AVG R =0.4964 | mean_pen: 0.0000 |  
iteration 8450 | D LOSS = 1.3788 | G LOSS = -0.0438 | AVG R =0.4959 | mean_pen: 0.0000 |  
iteration 8500 | D LOSS = 1.3788 | G LOSS = -0.0498 | AVG R =0.4962 | mean_pen: 0.0000 |  
iteration 8550 | D LOSS = 1.3789 | G LOSS = -0.0401 | AVG R =0.4959 | mean_pen: 0.0000 |  
iteration 8600 | D LOSS = 1.3790 | G LOSS = -0.0478 | AVG R =0.4959 | mean_pen: 0.0000 |  
iteration 8650 | D LOSS = 1.3797 | G LOSS = -0.0390 | AVG R =0.4958 | mean_pen: 0.0000 |  
iteration 8700 | D LOSS = 1.3768 | G LOSS = -0.0401 | AVG R =0.4957 | mean_pen: 0.0000 |  
iteration 8750 | D LOSS = 1.3780 | G LOSS = -0.0390 | AVG R =0.4961 | mean_pen: 0.0000 |  
