Logging
iteration 13350 | D LOSS = 0.8629 | G LOSS = -49765580.0000 | AVG R =0.2556 |  
iteration 13400 | D LOSS = 0.8648 | G LOSS = -38062956.0000 | AVG R =0.2557 |  
iteration 13450 | D LOSS = 0.8642 | G LOSS = -58354168.0000 | AVG R =0.2563 |  
iteration 13500 | D LOSS = 0.8619 | G LOSS = -41768028.0000 | AVG R =0.2553 |  
iteration 13550 | D LOSS = 0.8643 | G LOSS = -89522392.0000 | AVG R =0.2550 |  
iteration 13600 | D LOSS = 0.8647 | G LOSS = -13046606.0000 | AVG R =0.2564 |  
iteration 13650 | D LOSS = 0.8615 | G LOSS = -12120778.0000 | AVG R =0.2559 |  
iteration 13700 | D LOSS = 0.8639 | G LOSS = 5636745.5000 | AVG R =0.2562 |  
iteration 13750 | D LOSS = 0.8627 | G LOSS = 1289505.3750 | AVG R =0.2555 |  
iteration 13800 | D LOSS = 0.8641 | G LOSS = -59830424.0000 | AVG R =0.2553 |  
iteration 13850 | D LOSS = 0.8640 | G LOSS = -54717920.0000 | AVG R =0.2563 |  
iteration 13900 | D LOSS = 0.8634 | G LOSS = 110803248.0000 | AVG R =0.2540 |  
iteration 13950 | D LOSS = 0.8621 | G LOSS = 69514392.0000 | AVG R =0.2543 |  
iteration 14000 | D LOSS = 0.8627 | G LOSS = 23516824.0000 | AVG R =0.2545 |  
iteration 14050 | D LOSS = 0.8624 | G LOSS = -65326448.0000 | AVG R =0.2559 |  
iteration 14100 | D LOSS = 0.8619 | G LOSS = 67678992.0000 | AVG R =0.2541 |  
iteration 14150 | D LOSS = 0.8626 | G LOSS = 59352748.0000 | AVG R =0.2566 |  
iteration 14200 | D LOSS = 0.8627 | G LOSS = -104154648.0000 | AVG R =0.2546 |  
iteration 14250 | D LOSS = 0.8641 | G LOSS = 112997720.0000 | AVG R =0.2550 |  
iteration 14300 | D LOSS = 0.8626 | G LOSS = -47628044.0000 | AVG R =0.2557 |  
iteration 14350 | D LOSS = 0.8630 | G LOSS = 44372984.0000 | AVG R =0.2560 |  
iteration 14400 | D LOSS = 0.8638 | G LOSS = -19400444.0000 | AVG R =0.2556 |  
iteration 14450 | D LOSS = 0.8637 | G LOSS = -49475100.0000 | AVG R =0.2547 |  
iteration 14500 | D LOSS = 0.8649 | G LOSS = 51484208.0000 | AVG R =0.2560 |  
iteration 14550 | D LOSS = 0.8626 | G LOSS = -22780588.0000 | AVG R =0.2552 |  
