Logging
ITERATION 266.0000 | TOTAL G LOSS 1.3516
ITERATION 267.0000 | TOTAL G LOSS 1.0325
ITERATION 268.0000 | TOTAL G LOSS 0.6355
ITERATION 269.0000 | TOTAL G LOSS 1.8260
ITERATION 270.0000 | TOTAL G LOSS 2.3016
ITERATION 271.0000 | TOTAL G LOSS 0.1122
ITERATION 272.0000 | TOTAL G LOSS -1.1380
ITERATION 273.0000 | TOTAL G LOSS -1.8270
ITERATION 274.0000 | TOTAL G LOSS -2.7549
ITERATION 275.0000 | TOTAL G LOSS -0.2991
ITERATION 276.0000 | TOTAL G LOSS -0.7322
ITERATION 277.0000 | TOTAL G LOSS 1.9449
ITERATION 278.0000 | TOTAL G LOSS 0.8331
ITERATION 279.0000 | TOTAL G LOSS -0.9502
ITERATION 280.0000 | TOTAL G LOSS -0.0023
ITERATION 281.0000 | TOTAL G LOSS 0.7212
ITERATION 282.0000 | TOTAL G LOSS -0.1511
ITERATION 283.0000 | TOTAL G LOSS 0.9631
ITERATION 284.0000 | TOTAL G LOSS 1.3937
ITERATION 285.0000 | TOTAL G LOSS 0.3399
ITERATION 286.0000 | TOTAL G LOSS -0.3142
ITERATION 287.0000 | TOTAL G LOSS -0.1274
ITERATION 288.0000 | TOTAL G LOSS -0.0539
ITERATION 289.0000 | TOTAL G LOSS -1.0079
ITERATION 290.0000 | TOTAL G LOSS 0.6315
ITERATION 291.0000 | TOTAL G LOSS 0.1984
ITERATION 292.0000 | TOTAL G LOSS 0.8229
ITERATION 293.0000 | TOTAL G LOSS 1.1487
ITERATION 294.0000 | TOTAL G LOSS -1.0879
ITERATION 295.0000 | TOTAL G LOSS 0.5135
ITERATION 296.0000 | TOTAL G LOSS -1.4328
ITERATION 297.0000 | TOTAL G LOSS 0.5904
ITERATION 298.0000 | TOTAL G LOSS 0.5768
ITERATION 299.0000 | TOTAL G LOSS 1.6636
ITERATION 300.0000 | TOTAL G LOSS -1.5351
ITERATION 301.0000 | TOTAL G LOSS 2.1517
ITERATION 302.0000 | TOTAL G LOSS 0.4789
ITERATION 303.0000 | TOTAL G LOSS 0.2717
ITERATION 304.0000 | TOTAL G LOSS -1.3679
ITERATION 305.0000 | TOTAL G LOSS -0.2619
ITERATION 306.0000 | TOTAL G LOSS -0.6331
ITERATION 307.0000 | TOTAL G LOSS 0.9995
ITERATION 308.0000 | TOTAL G LOSS 0.2872
ITERATION 309.0000 | TOTAL G LOSS 2.2560
ITERATION 310.0000 | TOTAL G LOSS -0.1318
ITERATION 311.0000 | TOTAL G LOSS 0.2059
ITERATION 312.0000 | TOTAL G LOSS 0.5637
ITERATION 313.0000 | TOTAL G LOSS 0.7543
ITERATION 314.0000 | TOTAL G LOSS -1.0561
ITERATION 315.0000 | TOTAL G LOSS 3.7227
ITERATION 316.0000 | TOTAL G LOSS 2.2042
ITERATION 317.0000 | TOTAL G LOSS 0.2865
ITERATION 318.0000 | TOTAL G LOSS 0.0620
ITERATION 319.0000 | TOTAL G LOSS -1.3604
ITERATION 320.0000 | TOTAL G LOSS 0.4413
ITERATION 321.0000 | TOTAL G LOSS -1.7630
ITERATION 322.0000 | TOTAL G LOSS 1.8171
ITERATION 323.0000 | TOTAL G LOSS 0.0490
ITERATION 324.0000 | TOTAL G LOSS -0.0208
ITERATION 325.0000 | TOTAL G LOSS -0.2555
ITERATION 326.0000 | TOTAL G LOSS -0.4751
ITERATION 327.0000 | TOTAL G LOSS 0.9868
ITERATION 328.0000 | TOTAL G LOSS -0.2732
ITERATION 329.0000 | TOTAL G LOSS 0.6203
ITERATION 330.0000 | TOTAL G LOSS 1.0507
ITERATION 331.0000 | TOTAL G LOSS 0.5928
ITERATION 332.0000 | TOTAL G LOSS 0.7378
ITERATION 333.0000 | TOTAL G LOSS -0.1064
ITERATION 334.0000 | TOTAL G LOSS 0.0273
ITERATION 335.0000 | TOTAL G LOSS -0.3651
ITERATION 336.0000 | TOTAL G LOSS -1.4272
ITERATION 337.0000 | TOTAL G LOSS 1.8064
ITERATION 338.0000 | TOTAL G LOSS 0.0133
ITERATION 339.0000 | TOTAL G LOSS -0.1340
ITERATION 340.0000 | TOTAL G LOSS -1.9101
ITERATION 341.0000 | TOTAL G LOSS -1.4280
