Logging
iteration 10650 | D LOSS = 1.3470 | G LOSS = -0.3515 | AVG R =0.4806 |  
iteration 10700 | D LOSS = 1.3480 | G LOSS = -2.0281 | AVG R =0.4804 |  
iteration 10750 | D LOSS = 1.3491 | G LOSS = 0.2305 | AVG R =0.4805 |  
iteration 10800 | D LOSS = 1.3468 | G LOSS = -0.2825 | AVG R =0.4810 |  
iteration 10850 | D LOSS = 1.3482 | G LOSS = -1.3132 | AVG R =0.4810 |  
iteration 10900 | D LOSS = 1.3495 | G LOSS = 0.5310 | AVG R =0.4817 |  
iteration 10950 | D LOSS = 1.3484 | G LOSS = -0.4708 | AVG R =0.4812 |  
iteration 11000 | D LOSS = 1.3479 | G LOSS = -0.3129 | AVG R =0.4815 |  
iteration 11050 | D LOSS = 1.3498 | G LOSS = -2.5706 | AVG R =0.4804 |  
iteration 11100 | D LOSS = 1.3480 | G LOSS = -0.2068 | AVG R =0.4810 |  
iteration 11150 | D LOSS = 1.3491 | G LOSS = -0.1708 | AVG R =0.4819 |  
iteration 11200 | D LOSS = 1.3507 | G LOSS = -0.1178 | AVG R =0.4824 |  
iteration 11250 | D LOSS = 1.3514 | G LOSS = 0.3767 | AVG R =0.4819 |  
iteration 11300 | D LOSS = 1.3509 | G LOSS = -1.6059 | AVG R =0.4819 |  
iteration 11350 | D LOSS = 1.3492 | G LOSS = 0.5096 | AVG R =0.4825 |  
iteration 11400 | D LOSS = 1.3511 | G LOSS = 0.0751 | AVG R =0.4822 |  
iteration 11450 | D LOSS = 1.3505 | G LOSS = -1.6704 | AVG R =0.4819 |  
iteration 11500 | D LOSS = 1.3516 | G LOSS = -1.5436 | AVG R =0.4820 |  
iteration 11550 | D LOSS = 1.3517 | G LOSS = -0.2444 | AVG R =0.4823 |  
iteration 11600 | D LOSS = 1.3500 | G LOSS = -0.6337 | AVG R =0.4825 |  
iteration 11650 | D LOSS = 1.3496 | G LOSS = -0.8511 | AVG R =0.4820 |  
iteration 11700 | D LOSS = 1.3510 | G LOSS = -0.5459 | AVG R =0.4825 |  
iteration 11750 | D LOSS = 1.3493 | G LOSS = 0.1977 | AVG R =0.4822 |  
iteration 11800 | D LOSS = 1.3500 | G LOSS = -1.9411 | AVG R =0.4821 |  
iteration 11850 | D LOSS = 1.3506 | G LOSS = -2.0413 | AVG R =0.4823 |  
iteration 11900 | D LOSS = 1.3507 | G LOSS = -0.6233 | AVG R =0.4820 |  
iteration 11950 | D LOSS = 1.3500 | G LOSS = -0.6557 | AVG R =0.4819 |  
iteration 12000 | D LOSS = 1.3523 | G LOSS = 1.5596 | AVG R =0.4821 |  
iteration 12050 | D LOSS = 1.3538 | G LOSS = 1.6075 | AVG R =0.4836 |  
iteration 12100 | D LOSS = 1.3524 | G LOSS = -1.9387 | AVG R =0.4837 |  
iteration 12150 | D LOSS = 1.3549 | G LOSS = 0.1856 | AVG R =0.4843 |  
iteration 12200 | D LOSS = 1.3529 | G LOSS = -0.0089 | AVG R =0.4835 |  
iteration 12250 | D LOSS = 1.3534 | G LOSS = 1.0074 | AVG R =0.4832 |  
iteration 12300 | D LOSS = 1.3525 | G LOSS = -0.8854 | AVG R =0.4829 |  
iteration 12350 | D LOSS = 1.3506 | G LOSS = 0.3029 | AVG R =0.4831 |  
iteration 12400 | D LOSS = 1.3495 | G LOSS = 0.7457 | AVG R =0.4833 |  
iteration 12450 | D LOSS = 1.3498 | G LOSS = -1.5862 | AVG R =0.4826 |  
iteration 12500 | D LOSS = 1.3486 | G LOSS = -2.9963 | AVG R =0.4819 |  
iteration 12550 | D LOSS = 1.3511 | G LOSS = -0.5861 | AVG R =0.4825 |  
iteration 12600 | D LOSS = 1.3494 | G LOSS = -0.7173 | AVG R =0.4820 |  
iteration 12650 | D LOSS = 1.3505 | G LOSS = -1.8670 | AVG R =0.4816 |  
iteration 12700 | D LOSS = 1.3546 | G LOSS = -0.2309 | AVG R =0.4819 |  
iteration 12750 | D LOSS = 1.3519 | G LOSS = -0.1087 | AVG R =0.4835 |  
iteration 12800 | D LOSS = 1.3497 | G LOSS = -2.1695 | AVG R =0.4825 |  
iteration 12850 | D LOSS = 1.3498 | G LOSS = 0.6333 | AVG R =0.4831 |  
iteration 12900 | D LOSS = 1.3514 | G LOSS = -3.4265 | AVG R =0.4822 |  
iteration 12950 | D LOSS = 1.3532 | G LOSS = 0.0804 | AVG R =0.4837 |  
iteration 13000 | D LOSS = 1.3512 | G LOSS = 0.7719 | AVG R =0.4829 |  
iteration 13050 | D LOSS = 1.3503 | G LOSS = -0.0831 | AVG R =0.4823 |  
