Logging
iteration 7900 | D LOSS = 1.2198 | G LOSS = -18930840109056.0000 | AVG R =0.4173 |  
iteration 7950 | D LOSS = 1.2227 | G LOSS = -19790003437568.0000 | AVG R =0.4177 |  
iteration 8000 | D LOSS = 1.2360 | G LOSS = -23754377789440.0000 | AVG R =0.4263 |  
iteration 8050 | D LOSS = 1.2244 | G LOSS = -29349816303616.0000 | AVG R =0.4199 |  
iteration 8100 | D LOSS = 1.2274 | G LOSS = -40004868898816.0000 | AVG R =0.4224 |  
iteration 8150 | D LOSS = 1.2237 | G LOSS = -49838276214784.0000 | AVG R =0.4179 |  
iteration 8200 | D LOSS = 1.2240 | G LOSS = -49192835743744.0000 | AVG R =0.4189 |  
iteration 8250 | D LOSS = 1.2264 | G LOSS = -59999967510528.0000 | AVG R =0.4198 |  
iteration 8300 | D LOSS = 1.2236 | G LOSS = -62504638087168.0000 | AVG R =0.4201 |  
iteration 8350 | D LOSS = 1.2253 | G LOSS = -98831316287488.0000 | AVG R =0.4224 |  
iteration 8400 | D LOSS = 1.2250 | G LOSS = -112707290267648.0000 | AVG R =0.4187 |  
iteration 8450 | D LOSS = 1.2233 | G LOSS = -136504043110400.0000 | AVG R =0.4180 |  
iteration 8500 | D LOSS = 1.2236 | G LOSS = -153438813945856.0000 | AVG R =0.4183 |  
iteration 8550 | D LOSS = 1.2287 | G LOSS = -188066685779968.0000 | AVG R =0.4233 |  
iteration 8600 | D LOSS = 1.2236 | G LOSS = -201325014941696.0000 | AVG R =0.4196 |  
iteration 8650 | D LOSS = 1.2201 | G LOSS = -224285272571904.0000 | AVG R =0.4196 |  
iteration 8700 | D LOSS = 1.2135 | G LOSS = -294551071752192.0000 | AVG R =0.4124 |  
iteration 8750 | D LOSS = 1.2119 | G LOSS = -317181321543680.0000 | AVG R =0.4135 |  
iteration 8800 | D LOSS = 1.2106 | G LOSS = -442126819131392.0000 | AVG R =0.4123 |  
iteration 8850 | D LOSS = 1.2129 | G LOSS = -508746123968512.0000 | AVG R =0.4136 |  
iteration 8900 | D LOSS = 1.2123 | G LOSS = -561437856497664.0000 | AVG R =0.4133 |  
iteration 8950 | D LOSS = 1.2090 | G LOSS = -512070260883456.0000 | AVG R =0.4166 |  
iteration 9000 | D LOSS = 1.2176 | G LOSS = -702796772933632.0000 | AVG R =0.4173 |  
iteration 9050 | D LOSS = 1.2244 | G LOSS = -732399096823808.0000 | AVG R =0.4127 |  
iteration 9100 | D LOSS = 1.2190 | G LOSS = -817039681781760.0000 | AVG R =0.4158 |  
iteration 9150 | D LOSS = 1.2142 | G LOSS = -964089094340608.0000 | AVG R =0.4129 |  
iteration 9200 | D LOSS = 1.2142 | G LOSS = -1485878698442752.0000 | AVG R =0.4155 |  
iteration 9250 | D LOSS = 1.2120 | G LOSS = -1561258595713024.0000 | AVG R =0.4145 |  
iteration 9300 | D LOSS = 1.2192 | G LOSS = -1507865709772800.0000 | AVG R =0.4165 |  
iteration 9350 | D LOSS = 1.2214 | G LOSS = -1814196333314048.0000 | AVG R =0.4162 |  
iteration 9400 | D LOSS = 1.2150 | G LOSS = -1886053283659776.0000 | AVG R =0.4153 |  
iteration 9450 | D LOSS = 1.2129 | G LOSS = -2582739391873024.0000 | AVG R =0.4149 |  
iteration 9500 | D LOSS = 1.2171 | G LOSS = -2840822097641472.0000 | AVG R =0.4154 |  
iteration 9550 | D LOSS = 1.2124 | G LOSS = -2723021613694976.0000 | AVG R =0.4145 |  
iteration 9600 | D LOSS = 1.2225 | G LOSS = -2604682648223744.0000 | AVG R =0.4207 |  
iteration 9650 | D LOSS = 1.2215 | G LOSS = -3586724772970496.0000 | AVG R =0.4166 |  
iteration 9700 | D LOSS = 1.2093 | G LOSS = -4691688056422400.0000 | AVG R =0.4158 |  
iteration 9750 | D LOSS = 1.2124 | G LOSS = -4307289020301312.0000 | AVG R =0.4126 |  
iteration 9800 | D LOSS = 1.2136 | G LOSS = -4523537939300352.0000 | AVG R =0.4165 |  
iteration 9850 | D LOSS = 1.2123 | G LOSS = -5681285565513728.0000 | AVG R =0.4158 |  
iteration 9900 | D LOSS = 1.2179 | G LOSS = -5988564705738752.0000 | AVG R =0.4180 |  
iteration 9950 | D LOSS = 1.2149 | G LOSS = -6532874501095424.0000 | AVG R =0.4171 |  
iteration 10000 | D LOSS = 1.2089 | G LOSS = -7851051503845376.0000 | AVG R =0.4103 |  
iteration 10050 | D LOSS = 1.2105 | G LOSS = -9061568171999232.0000 | AVG R =0.4117 |  
iteration 10100 | D LOSS = 1.2106 | G LOSS = -9748948696694784.0000 | AVG R =0.4133 |  
iteration 10150 | D LOSS = 1.2247 | G LOSS = -11013571752230912.0000 | AVG R =0.4187 |  
iteration 10200 | D LOSS = 1.2171 | G LOSS = -11788255003410432.0000 | AVG R =0.4152 |  
iteration 10250 | D LOSS = 1.2189 | G LOSS = -13996894690738176.0000 | AVG R =0.4156 |  
iteration 10300 | D LOSS = 1.2136 | G LOSS = -13899758636630016.0000 | AVG R =0.4147 |  
iteration 10350 | D LOSS = 1.2227 | G LOSS = -15831182881062912.0000 | AVG R =0.4161 |  
iteration 10400 | D LOSS = 1.2124 | G LOSS = -17500019267469312.0000 | AVG R =0.4147 |  
iteration 10450 | D LOSS = 1.2108 | G LOSS = -21163266667446272.0000 | AVG R =0.4110 |  
iteration 10500 | D LOSS = 1.2178 | G LOSS = -15870972531834880.0000 | AVG R =0.4225 |  
iteration 10550 | D LOSS = 1.2193 | G LOSS = -27917931669094400.0000 | AVG R =0.4178 |  
iteration 10600 | D LOSS = 1.2160 | G LOSS = -25150370707668992.0000 | AVG R =0.4149 |  
iteration 10650 | D LOSS = 1.2102 | G LOSS = -31377205703475200.0000 | AVG R =0.4150 |  
iteration 10700 | D LOSS = 1.2050 | G LOSS = -35860077818675200.0000 | AVG R =0.4111 |  
iteration 10750 | D LOSS = 1.2167 | G LOSS = -36767157731721216.0000 | AVG R =0.4166 |  
iteration 10800 | D LOSS = 1.2176 | G LOSS = -43550315546411008.0000 | AVG R =0.4144 |  
iteration 10850 | D LOSS = 1.2161 | G LOSS = -41708917037727744.0000 | AVG R =0.4191 |  
iteration 10900 | D LOSS = 1.2209 | G LOSS = -51364424425930752.0000 | AVG R =0.4165 |  
iteration 10950 | D LOSS = 1.2142 | G LOSS = -50479725587464192.0000 | AVG R =0.4178 |  
iteration 11000 | D LOSS = 1.2176 | G LOSS = -61560775570882560.0000 | AVG R =0.4176 |  
iteration 11050 | D LOSS = 1.2190 | G LOSS = -60533694271586304.0000 | AVG R =0.4164 |  
iteration 11100 | D LOSS = 1.2230 | G LOSS = -61014829392986112.0000 | AVG R =0.4185 |  
iteration 11150 | D LOSS = 1.2198 | G LOSS = -79399393953841152.0000 | AVG R =0.4178 |  
iteration 11200 | D LOSS = 1.2268 | G LOSS = -81381418281730048.0000 | AVG R =0.4205 |  
iteration 11250 | D LOSS = 1.2227 | G LOSS = -79083619368304640.0000 | AVG R =0.4158 |  
iteration 11300 | D LOSS = 1.2113 | G LOSS = -89966937647349760.0000 | AVG R =0.4152 |  
iteration 11350 | D LOSS = 1.2220 | G LOSS = -101716988916662272.0000 | AVG R =0.4189 |  
iteration 11400 | D LOSS = 1.2151 | G LOSS = -93859560996995072.0000 | AVG R =0.4137 |  
iteration 11450 | D LOSS = 1.2189 | G LOSS = -113318142259757056.0000 | AVG R =0.4172 |  
iteration 11500 | D LOSS = 1.2257 | G LOSS = -137787223780098048.0000 | AVG R =0.4175 |  
iteration 11550 | D LOSS = 1.2197 | G LOSS = -162802075384676352.0000 | AVG R =0.4166 |  
iteration 11600 | D LOSS = 1.2182 | G LOSS = -152293974038544384.0000 | AVG R =0.4142 |  
iteration 11650 | D LOSS = 1.2148 | G LOSS = -178240661747662848.0000 | AVG R =0.4145 |  
iteration 11700 | D LOSS = 1.2164 | G LOSS = -159132317888020480.0000 | AVG R =0.4154 |  
iteration 11750 | D LOSS = 1.2164 | G LOSS = -195594030430552064.0000 | AVG R =0.4150 |  
iteration 11800 | D LOSS = 1.2113 | G LOSS = -201126429344137216.0000 | AVG R =0.4141 |  
iteration 11850 | D LOSS = 1.2140 | G LOSS = -223799097843253248.0000 | AVG R =0.4146 |  
iteration 11900 | D LOSS = 1.2149 | G LOSS = -273526435354771456.0000 | AVG R =0.4144 |  
iteration 11950 | D LOSS = 1.2125 | G LOSS = -279078230340665344.0000 | AVG R =0.4140 |  
iteration 12000 | D LOSS = 1.2162 | G LOSS = -287946289834885120.0000 | AVG R =0.4143 |  
iteration 12050 | D LOSS = 1.2148 | G LOSS = -356862750950948864.0000 | AVG R =0.4146 |  
iteration 12100 | D LOSS = 1.2184 | G LOSS = -351806852889051136.0000 | AVG R =0.4170 |  
iteration 12150 | D LOSS = 1.2293 | G LOSS = -361528219305771008.0000 | AVG R =0.4203 |  
iteration 12200 | D LOSS = 1.2188 | G LOSS = -421113846791405568.0000 | AVG R =0.4183 |  
iteration 12250 | D LOSS = 1.2191 | G LOSS = -436794188273549312.0000 | AVG R =0.4161 |  
iteration 12300 | D LOSS = 1.2104 | G LOSS = -487849048636653568.0000 | AVG R =0.4148 |  
iteration 12350 | D LOSS = 1.2176 | G LOSS = -608778285261783040.0000 | AVG R =0.4160 |  
iteration 12400 | D LOSS = 1.2173 | G LOSS = -582816616706736128.0000 | AVG R =0.4162 |  
iteration 12450 | D LOSS = 1.2192 | G LOSS = -750099476852506624.0000 | AVG R =0.4148 |  
iteration 12500 | D LOSS = 1.2237 | G LOSS = -609626970799472640.0000 | AVG R =0.4184 |  
iteration 12550 | D LOSS = 1.2183 | G LOSS = -595573837806960640.0000 | AVG R =0.4186 |  
iteration 12600 | D LOSS = 1.2166 | G LOSS = -870246067357089792.0000 | AVG R =0.4161 |  
iteration 12650 | D LOSS = 1.2242 | G LOSS = -770017817184436224.0000 | AVG R =0.4168 |  
iteration 12700 | D LOSS = 1.2183 | G LOSS = -900800052383973376.0000 | AVG R =0.4192 |  
iteration 12750 | D LOSS = 1.2191 | G LOSS = -978958149249662976.0000 | AVG R =0.4177 |  
iteration 12800 | D LOSS = 1.2219 | G LOSS = -916042169762971648.0000 | AVG R =0.4174 |  
iteration 12850 | D LOSS = 1.2256 | G LOSS = -1204524883833257984.0000 | AVG R =0.4195 |  
iteration 12900 | D LOSS = 1.2216 | G LOSS = -956650089114238976.0000 | AVG R =0.4173 |  
iteration 12950 | D LOSS = 1.2210 | G LOSS = -1209589784146608128.0000 | AVG R =0.4172 |  
iteration 13000 | D LOSS = 1.2199 | G LOSS = -1309179011905093632.0000 | AVG R =0.4186 |  
iteration 13050 | D LOSS = 1.2202 | G LOSS = -1462357611767660544.0000 | AVG R =0.4182 |  
iteration 13100 | D LOSS = 1.2170 | G LOSS = -1686227525031690240.0000 | AVG R =0.4175 |  
iteration 13150 | D LOSS = 1.2169 | G LOSS = -1898848334831943680.0000 | AVG R =0.4162 |  
iteration 13200 | D LOSS = 1.2164 | G LOSS = -2015476694286073856.0000 | AVG R =0.4157 |  
iteration 13250 | D LOSS = 1.2240 | G LOSS = -1960046877156048896.0000 | AVG R =0.4207 |  
iteration 13300 | D LOSS = 1.2133 | G LOSS = -1834285561804750848.0000 | AVG R =0.4169 |  
iteration 13350 | D LOSS = 1.2267 | G LOSS = -2530975161826410496.0000 | AVG R =0.4176 |  
iteration 13400 | D LOSS = 1.2215 | G LOSS = -2807333561177210880.0000 | AVG R =0.4204 |  
iteration 13450 | D LOSS = 1.2212 | G LOSS = -2766898471309934592.0000 | AVG R =0.4199 |  
iteration 13500 | D LOSS = 1.2137 | G LOSS = -2853401998869397504.0000 | AVG R =0.4166 |  
iteration 13550 | D LOSS = 1.2187 | G LOSS = -2833627282243846144.0000 | AVG R =0.4164 |  
iteration 13600 | D LOSS = 1.2205 | G LOSS = -3528541170986647552.0000 | AVG R =0.4192 |  
