Logging
ITERATION 206.0000 | TOTAL G LOSS 2.8805
ITERATION 207.0000 | TOTAL G LOSS -0.0858
ITERATION 208.0000 | TOTAL G LOSS 0.2289
ITERATION 209.0000 | TOTAL G LOSS 1.9582
ITERATION 210.0000 | TOTAL G LOSS 0.8800
ITERATION 211.0000 | TOTAL G LOSS 1.9876
ITERATION 212.0000 | TOTAL G LOSS 2.3313
ITERATION 213.0000 | TOTAL G LOSS 0.4506
ITERATION 214.0000 | TOTAL G LOSS 0.7071
ITERATION 215.0000 | TOTAL G LOSS 2.3106
ITERATION 216.0000 | TOTAL G LOSS 1.7966
ITERATION 217.0000 | TOTAL G LOSS 0.5305
ITERATION 218.0000 | TOTAL G LOSS 2.6259
ITERATION 219.0000 | TOTAL G LOSS -0.9367
ITERATION 220.0000 | TOTAL G LOSS -0.8438
ITERATION 221.0000 | TOTAL G LOSS -2.2455
ITERATION 222.0000 | TOTAL G LOSS 0.1754
ITERATION 223.0000 | TOTAL G LOSS -1.0334
ITERATION 224.0000 | TOTAL G LOSS -1.9824
ITERATION 225.0000 | TOTAL G LOSS -1.2591
ITERATION 226.0000 | TOTAL G LOSS -0.9585
ITERATION 227.0000 | TOTAL G LOSS 0.2369
ITERATION 228.0000 | TOTAL G LOSS 0.8443
ITERATION 229.0000 | TOTAL G LOSS -1.1484
ITERATION 230.0000 | TOTAL G LOSS -1.3479
ITERATION 231.0000 | TOTAL G LOSS -0.7556
ITERATION 232.0000 | TOTAL G LOSS -0.5002
ITERATION 233.0000 | TOTAL G LOSS -0.3550
ITERATION 234.0000 | TOTAL G LOSS -0.7025
ITERATION 235.0000 | TOTAL G LOSS 1.1452
ITERATION 236.0000 | TOTAL G LOSS -0.7680
ITERATION 237.0000 | TOTAL G LOSS -1.2745
ITERATION 238.0000 | TOTAL G LOSS -0.8707
ITERATION 239.0000 | TOTAL G LOSS -2.1201
ITERATION 240.0000 | TOTAL G LOSS 0.0362
ITERATION 241.0000 | TOTAL G LOSS -0.6716
ITERATION 242.0000 | TOTAL G LOSS -0.2156
ITERATION 243.0000 | TOTAL G LOSS -1.1217
ITERATION 244.0000 | TOTAL G LOSS 1.2358
ITERATION 245.0000 | TOTAL G LOSS -0.7972
ITERATION 246.0000 | TOTAL G LOSS -1.6560
ITERATION 247.0000 | TOTAL G LOSS 1.1465
ITERATION 248.0000 | TOTAL G LOSS 0.1177
ITERATION 249.0000 | TOTAL G LOSS 0.2142
ITERATION 250.0000 | TOTAL G LOSS 2.2031
ITERATION 251.0000 | TOTAL G LOSS -0.9545
ITERATION 252.0000 | TOTAL G LOSS 0.2148
ITERATION 253.0000 | TOTAL G LOSS 0.5401
ITERATION 254.0000 | TOTAL G LOSS 1.5802
ITERATION 255.0000 | TOTAL G LOSS 1.8637
ITERATION 256.0000 | TOTAL G LOSS -0.4004
ITERATION 257.0000 | TOTAL G LOSS 0.0488
ITERATION 258.0000 | TOTAL G LOSS 0.6335
ITERATION 259.0000 | TOTAL G LOSS 1.0197
ITERATION 260.0000 | TOTAL G LOSS -0.8407
ITERATION 261.0000 | TOTAL G LOSS -0.9013
ITERATION 262.0000 | TOTAL G LOSS 1.0423
ITERATION 263.0000 | TOTAL G LOSS -0.7447
ITERATION 264.0000 | TOTAL G LOSS -0.1847
ITERATION 265.0000 | TOTAL G LOSS -1.3150
ITERATION 266.0000 | TOTAL G LOSS -0.2890
ITERATION 267.0000 | TOTAL G LOSS -2.0505
ITERATION 268.0000 | TOTAL G LOSS -0.2072
ITERATION 269.0000 | TOTAL G LOSS -1.7617
ITERATION 270.0000 | TOTAL G LOSS -2.1271
ITERATION 271.0000 | TOTAL G LOSS 1.5666
ITERATION 272.0000 | TOTAL G LOSS -0.5826
ITERATION 273.0000 | TOTAL G LOSS -0.0089
ITERATION 274.0000 | TOTAL G LOSS 0.1796
ITERATION 275.0000 | TOTAL G LOSS -0.1514
ITERATION 276.0000 | TOTAL G LOSS 2.7259
ITERATION 277.0000 | TOTAL G LOSS -0.1821
ITERATION 278.0000 | TOTAL G LOSS 0.6684
ITERATION 279.0000 | TOTAL G LOSS -0.3315
ITERATION 280.0000 | TOTAL G LOSS -0.7609
ITERATION 281.0000 | TOTAL G LOSS 3.1103
