Logging
iteration 9600 | D LOSS = 1.3778 | G LOSS = -0.0169 | AVG R =0.4952 | mean_pen: 0.0002 |  
iteration 9650 | D LOSS = 1.3771 | G LOSS = -0.0250 | AVG R =0.4954 | mean_pen: 0.0002 |  
iteration 9700 | D LOSS = 1.3762 | G LOSS = -0.0262 | AVG R =0.4949 | mean_pen: 0.0002 |  
iteration 9750 | D LOSS = 1.3765 | G LOSS = -0.0224 | AVG R =0.4955 | mean_pen: 0.0002 |  
iteration 9800 | D LOSS = 1.3768 | G LOSS = -0.0284 | AVG R =0.4951 | mean_pen: 0.0002 |  
iteration 9850 | D LOSS = 1.3774 | G LOSS = -0.0308 | AVG R =0.4953 | mean_pen: 0.0002 |  
iteration 9900 | D LOSS = 1.3768 | G LOSS = -0.0359 | AVG R =0.4951 | mean_pen: 0.0001 |  
iteration 9950 | D LOSS = 1.3770 | G LOSS = -0.0223 | AVG R =0.4943 | mean_pen: 0.0002 |  
iteration 10000 | D LOSS = 1.3770 | G LOSS = -0.0275 | AVG R =0.4955 | mean_pen: 0.0002 |  
iteration 10050 | D LOSS = 1.3760 | G LOSS = -0.0241 | AVG R =0.4949 | mean_pen: 0.0001 |  
iteration 10100 | D LOSS = 1.3769 | G LOSS = -0.0302 | AVG R =0.4953 | mean_pen: 0.0001 |  
iteration 10150 | D LOSS = 1.3759 | G LOSS = -0.0230 | AVG R =0.4950 | mean_pen: 0.0001 |  
iteration 10200 | D LOSS = 1.3759 | G LOSS = -0.0273 | AVG R =0.4953 | mean_pen: 0.0001 |  
iteration 10250 | D LOSS = 1.3775 | G LOSS = -0.0281 | AVG R =0.4956 | mean_pen: 0.0002 |  
iteration 10300 | D LOSS = 1.3762 | G LOSS = -0.0197 | AVG R =0.4953 | mean_pen: 0.0002 |  
iteration 10350 | D LOSS = 1.3757 | G LOSS = -0.0251 | AVG R =0.4951 | mean_pen: 0.0001 |  
iteration 10400 | D LOSS = 1.3766 | G LOSS = -0.0291 | AVG R =0.4954 | mean_pen: 0.0001 |  
iteration 10450 | D LOSS = 1.3772 | G LOSS = -0.0220 | AVG R =0.4952 | mean_pen: 0.0002 |  
iteration 10500 | D LOSS = 1.3777 | G LOSS = -0.0256 | AVG R =0.4957 | mean_pen: 0.0002 |  
iteration 10550 | D LOSS = 1.3774 | G LOSS = -0.0123 | AVG R =0.4955 | mean_pen: 0.0002 |  
iteration 10600 | D LOSS = 1.3776 | G LOSS = -0.0225 | AVG R =0.4954 | mean_pen: 0.0002 |  
iteration 10650 | D LOSS = 1.3770 | G LOSS = -0.0264 | AVG R =0.4955 | mean_pen: 0.0002 |  
iteration 10700 | D LOSS = 1.3766 | G LOSS = -0.0183 | AVG R =0.4951 | mean_pen: 0.0002 |  
iteration 10750 | D LOSS = 1.3767 | G LOSS = -0.0324 | AVG R =0.4958 | mean_pen: 0.0002 |  
