Logging
iteration 11550 | D LOSS = 1.1765 | G LOSS = 0.9082 | mean_pen: 0.0000 |  
iteration 11600 | D LOSS = 1.2040 | G LOSS = 0.9113 | mean_pen: 0.0000 |  
iteration 11650 | D LOSS = 1.2185 | G LOSS = 0.8999 | mean_pen: 0.0000 |  
iteration 11700 | D LOSS = 1.1975 | G LOSS = 0.9160 | mean_pen: 0.0000 |  
iteration 11750 | D LOSS = 1.2158 | G LOSS = 0.9036 | mean_pen: 0.0000 |  
iteration 11800 | D LOSS = 1.1860 | G LOSS = 0.9015 | mean_pen: 0.0000 |  
iteration 11850 | D LOSS = 1.1927 | G LOSS = 0.9085 | mean_pen: 0.0000 |  
iteration 11900 | D LOSS = 1.1894 | G LOSS = 0.9059 | mean_pen: 0.0000 |  
iteration 11950 | D LOSS = 1.1908 | G LOSS = 0.9109 | mean_pen: 0.0000 |  
iteration 12000 | D LOSS = 1.1796 | G LOSS = 0.9056 | mean_pen: 0.0000 |  
iteration 12050 | D LOSS = 1.1786 | G LOSS = 0.9098 | mean_pen: 0.0000 |  
iteration 12100 | D LOSS = 1.1915 | G LOSS = 0.9092 | mean_pen: 0.0000 |  
iteration 12150 | D LOSS = 1.1882 | G LOSS = 0.8989 | mean_pen: 0.0000 |  
iteration 12200 | D LOSS = 1.1832 | G LOSS = 0.8995 | mean_pen: 0.0000 |  
iteration 12250 | D LOSS = 1.1902 | G LOSS = 0.9031 | mean_pen: 0.0000 |  
iteration 12300 | D LOSS = 1.2075 | G LOSS = 0.9046 | mean_pen: 0.0000 |  
iteration 12350 | D LOSS = 1.2784 | G LOSS = 0.9017 | mean_pen: 0.0000 |  
iteration 12400 | D LOSS = 1.1767 | G LOSS = 0.9104 | mean_pen: 0.0000 |  
iteration 12450 | D LOSS = 1.1888 | G LOSS = 0.9005 | mean_pen: 0.0000 |  
iteration 12500 | D LOSS = 1.1640 | G LOSS = 0.9054 | mean_pen: 0.0000 |  
iteration 12550 | D LOSS = 1.1751 | G LOSS = 0.9011 | mean_pen: 0.0000 |  
iteration 12600 | D LOSS = 1.1617 | G LOSS = 0.9085 | mean_pen: 0.0000 |  
