Logging
ITERATION 164.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8205
ITERATION 165.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8084
ITERATION 166.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8122
ITERATION 167.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8116
ITERATION 168.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8145
ITERATION 169.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8164
ITERATION 170.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8136
ITERATION 171.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8125
ITERATION 172.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8121
ITERATION 173.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8214
ITERATION 174.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8129
ITERATION 175.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8130
ITERATION 176.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8153
ITERATION 177.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8093
ITERATION 178.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8117
ITERATION 179.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8053
ITERATION 180.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8121
ITERATION 181.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8085
ITERATION 182.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8113
ITERATION 183.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8124
ITERATION 184.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8076
ITERATION 185.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8111
ITERATION 186.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8107
ITERATION 187.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8128
ITERATION 188.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8115
ITERATION 189.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8120
ITERATION 190.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8112
ITERATION 191.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8167
ITERATION 192.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8156
ITERATION 193.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8156
ITERATION 194.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8164
ITERATION 195.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8121
ITERATION 196.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8080
ITERATION 197.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8154
ITERATION 198.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8133
ITERATION 199.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8118
ITERATION 200.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8094
ITERATION 201.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8101
ITERATION 202.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8109
ITERATION 203.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8203
ITERATION 204.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8196
ITERATION 205.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8171
ITERATION 206.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8094
ITERATION 207.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8076
ITERATION 208.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8119
ITERATION 209.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8126
ITERATION 210.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8090
ITERATION 211.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8098
ITERATION 212.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8077
ITERATION 213.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8129
ITERATION 214.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8082
ITERATION 215.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8086
ITERATION 216.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8150
ITERATION 217.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8159
ITERATION 218.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8137
ITERATION 219.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8103
ITERATION 220.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8089
ITERATION 221.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8148
ITERATION 222.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8095
ITERATION 223.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8130
ITERATION 224.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8111
ITERATION 225.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8088
ITERATION 226.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8095
ITERATION 227.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8141
ITERATION 228.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8130
ITERATION 229.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8142
ITERATION 230.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8134
ITERATION 231.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8118
ITERATION 232.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8122
ITERATION 233.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8105
ITERATION 234.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8102
ITERATION 235.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8117
ITERATION 236.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8072
ITERATION 237.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8153
ITERATION 238.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8194
ITERATION 239.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8130
ITERATION 240.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8157
ITERATION 241.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8109
ITERATION 242.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8120
ITERATION 243.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8104
ITERATION 244.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8126
ITERATION 245.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8122
ITERATION 246.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8151
ITERATION 247.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8134
ITERATION 248.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8150
ITERATION 249.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8142
ITERATION 250.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8155
ITERATION 251.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8123
ITERATION 252.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8129
ITERATION 253.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8109
ITERATION 254.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8105
ITERATION 255.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8121
ITERATION 256.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8176
ITERATION 257.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8141
ITERATION 258.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8091
ITERATION 259.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8056
ITERATION 260.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8137
ITERATION 261.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8125
ITERATION 262.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8106
ITERATION 263.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8171
ITERATION 264.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8135
ITERATION 265.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8132
ITERATION 266.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8119
ITERATION 267.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8095
ITERATION 268.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8124
ITERATION 269.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8176
ITERATION 270.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8104
ITERATION 271.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8076
ITERATION 272.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8076
ITERATION 273.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8119
ITERATION 274.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8160
ITERATION 275.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8082
ITERATION 276.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8163
ITERATION 277.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8142
ITERATION 278.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8151
ITERATION 279.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8091
ITERATION 280.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8123
ITERATION 281.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8092
ITERATION 282.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8159
ITERATION 283.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8172
ITERATION 284.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8099
ITERATION 285.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8112
ITERATION 286.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8155
ITERATION 287.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8099
ITERATION 288.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8143
ITERATION 289.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8103
ITERATION 290.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8158
ITERATION 291.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8107
ITERATION 292.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8155
ITERATION 293.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8163
ITERATION 294.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8138
ITERATION 295.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8139
ITERATION 296.0000 | MEAN PEN (*.2) 0.0000 | TOTAL G LOSS 0.8105
