Logging
iteration 8200 | D LOSS = 1.3804 | G LOSS = 0.0128 | AVG R =0.4977 | mean_pen: 0.0000 |  
iteration 8250 | D LOSS = 1.3807 | G LOSS = 0.0267 | AVG R =0.4967 | mean_pen: 0.0000 |  
iteration 8300 | D LOSS = 1.3800 | G LOSS = 0.0215 | AVG R =0.4978 | mean_pen: 0.0000 |  
iteration 8350 | D LOSS = 1.3795 | G LOSS = 0.0189 | AVG R =0.4968 | mean_pen: 0.0000 |  
iteration 8400 | D LOSS = 1.3802 | G LOSS = 0.0175 | AVG R =0.4972 | mean_pen: 0.0000 |  
iteration 8450 | D LOSS = 1.3799 | G LOSS = 0.0223 | AVG R =0.4971 | mean_pen: 0.0000 |  
iteration 8500 | D LOSS = 1.3807 | G LOSS = 0.0256 | AVG R =0.4968 | mean_pen: 0.0000 |  
iteration 8550 | D LOSS = 1.3804 | G LOSS = 0.0274 | AVG R =0.4970 | mean_pen: 0.0000 |  
iteration 8600 | D LOSS = 1.3801 | G LOSS = 0.0324 | AVG R =0.4977 | mean_pen: 0.0000 |  
iteration 8650 | D LOSS = 1.3800 | G LOSS = 0.0364 | AVG R =0.4968 | mean_pen: 0.0000 |  
iteration 8700 | D LOSS = 1.3805 | G LOSS = 0.0216 | AVG R =0.4977 | mean_pen: 0.0000 |  
iteration 8750 | D LOSS = 1.3802 | G LOSS = 0.0228 | AVG R =0.4963 | mean_pen: 0.0000 |  
iteration 8800 | D LOSS = 1.3812 | G LOSS = 0.0191 | AVG R =0.4973 | mean_pen: 0.0000 |  
iteration 8850 | D LOSS = 1.3795 | G LOSS = 0.0267 | AVG R =0.4965 | mean_pen: 0.0000 |  
iteration 8900 | D LOSS = 1.3799 | G LOSS = 0.0278 | AVG R =0.4973 | mean_pen: 0.0000 |  
iteration 8950 | D LOSS = 1.3806 | G LOSS = 0.0336 | AVG R =0.4967 | mean_pen: 0.0000 |  
iteration 9000 | D LOSS = 1.3808 | G LOSS = 0.0308 | AVG R =0.4973 | mean_pen: 0.0000 |  
iteration 9050 | D LOSS = 1.3802 | G LOSS = 0.0209 | AVG R =0.4964 | mean_pen: 0.0000 |  
iteration 9100 | D LOSS = 1.3805 | G LOSS = 0.0319 | AVG R =0.4969 | mean_pen: 0.0000 |  
iteration 9150 | D LOSS = 1.3808 | G LOSS = 0.0326 | AVG R =0.4970 | mean_pen: 0.0000 |  
iteration 9200 | D LOSS = 1.3806 | G LOSS = 0.0335 | AVG R =0.4973 | mean_pen: 0.0001 |  
iteration 9250 | D LOSS = 1.3797 | G LOSS = 0.0260 | AVG R =0.4968 | mean_pen: 0.0001 |  
iteration 9300 | D LOSS = 1.3805 | G LOSS = 0.0258 | AVG R =0.4980 | mean_pen: 0.0000 |  
iteration 9350 | D LOSS = 1.3809 | G LOSS = 0.0250 | AVG R =0.4965 | mean_pen: 0.0000 |  
iteration 9400 | D LOSS = 1.3806 | G LOSS = 0.0355 | AVG R =0.4977 | mean_pen: 0.0001 |  
iteration 9450 | D LOSS = 1.3806 | G LOSS = 0.0289 | AVG R =0.4970 | mean_pen: 0.0000 |  
iteration 9500 | D LOSS = 1.3800 | G LOSS = 0.0286 | AVG R =0.4966 | mean_pen: 0.0000 |  
iteration 9550 | D LOSS = 1.3802 | G LOSS = 0.0285 | AVG R =0.4966 | mean_pen: 0.0000 |  
iteration 9600 | D LOSS = 1.3798 | G LOSS = 0.0456 | AVG R =0.4973 | mean_pen: 0.0000 |  
iteration 9650 | D LOSS = 1.3799 | G LOSS = 0.0274 | AVG R =0.4967 | mean_pen: 0.0000 |  
iteration 9700 | D LOSS = 1.3797 | G LOSS = 0.0309 | AVG R =0.4965 | mean_pen: 0.0000 |  
iteration 9750 | D LOSS = 1.3808 | G LOSS = 0.0382 | AVG R =0.4968 | mean_pen: 0.0000 |  
iteration 9800 | D LOSS = 1.3804 | G LOSS = 0.0293 | AVG R =0.4971 | mean_pen: 0.0000 |  
iteration 9850 | D LOSS = 1.3800 | G LOSS = 0.0262 | AVG R =0.4963 | mean_pen: 0.0000 |  
iteration 9900 | D LOSS = 1.3795 | G LOSS = 0.0276 | AVG R =0.4970 | mean_pen: 0.0000 |  
iteration 9950 | D LOSS = 1.3804 | G LOSS = 0.0310 | AVG R =0.4969 | mean_pen: 0.0000 |  
iteration 10000 | D LOSS = 1.3802 | G LOSS = 0.0293 | AVG R =0.4967 | mean_pen: 0.0000 |  
iteration 10050 | D LOSS = 1.3805 | G LOSS = 0.0252 | AVG R =0.4967 | mean_pen: 0.0000 |  
iteration 10100 | D LOSS = 1.3797 | G LOSS = 0.0346 | AVG R =0.4974 | mean_pen: 0.0000 |  
iteration 10150 | D LOSS = 1.3798 | G LOSS = 0.0344 | AVG R =0.4971 | mean_pen: 0.0000 |  
iteration 10200 | D LOSS = 1.3804 | G LOSS = 0.0305 | AVG R =0.4970 | mean_pen: 0.0000 |  
iteration 10250 | D LOSS = 1.3800 | G LOSS = 0.0316 | AVG R =0.4965 | mean_pen: 0.0001 |  
iteration 10300 | D LOSS = 1.3812 | G LOSS = 0.0346 | AVG R =0.4962 | mean_pen: 0.0000 |  
iteration 10350 | D LOSS = 1.3808 | G LOSS = 0.0214 | AVG R =0.4980 | mean_pen: 0.0000 |  
iteration 10400 | D LOSS = 1.3804 | G LOSS = 0.0367 | AVG R =0.4971 | mean_pen: 0.0000 |  
iteration 10450 | D LOSS = 1.3792 | G LOSS = 0.0349 | AVG R =0.4974 | mean_pen: 0.0000 |  
iteration 10500 | D LOSS = 1.3812 | G LOSS = 0.0350 | AVG R =0.4963 | mean_pen: 0.0000 |  
iteration 10550 | D LOSS = 1.3794 | G LOSS = 0.0291 | AVG R =0.4967 | mean_pen: 0.0000 |  
iteration 10600 | D LOSS = 1.3799 | G LOSS = 0.0347 | AVG R =0.4970 | mean_pen: 0.0000 |  
iteration 10650 | D LOSS = 1.3797 | G LOSS = 0.0428 | AVG R =0.4972 | mean_pen: 0.0000 |  
iteration 10700 | D LOSS = 1.3794 | G LOSS = 0.0217 | AVG R =0.4969 | mean_pen: 0.0000 |  
iteration 10750 | D LOSS = 1.3800 | G LOSS = 0.0421 | AVG R =0.4966 | mean_pen: 0.0001 |  
iteration 10800 | D LOSS = 1.3803 | G LOSS = 0.0361 | AVG R =0.4969 | mean_pen: 0.0000 |  
iteration 10850 | D LOSS = 1.3800 | G LOSS = 0.0234 | AVG R =0.4969 | mean_pen: 0.0000 |  
iteration 10900 | D LOSS = 1.3790 | G LOSS = 0.0386 | AVG R =0.4962 | mean_pen: 0.0000 |  
iteration 10950 | D LOSS = 1.3801 | G LOSS = 0.0305 | AVG R =0.4963 | mean_pen: 0.0000 |  
iteration 11000 | D LOSS = 1.3792 | G LOSS = 0.0262 | AVG R =0.4964 | mean_pen: 0.0000 |  
iteration 11050 | D LOSS = 1.3791 | G LOSS = 0.0326 | AVG R =0.4963 | mean_pen: 0.0000 |  
iteration 11100 | D LOSS = 1.3795 | G LOSS = 0.0248 | AVG R =0.4970 | mean_pen: 0.0000 |  
iteration 11150 | D LOSS = 1.3794 | G LOSS = 0.0340 | AVG R =0.4962 | mean_pen: 0.0000 |  
iteration 11200 | D LOSS = 1.3803 | G LOSS = 0.0386 | AVG R =0.4964 | mean_pen: 0.0000 |  
iteration 11250 | D LOSS = 1.3790 | G LOSS = 0.0313 | AVG R =0.4972 | mean_pen: 0.0000 |  
iteration 11300 | D LOSS = 1.3794 | G LOSS = 0.0314 | AVG R =0.4965 | mean_pen: 0.0000 |  
iteration 11350 | D LOSS = 1.3799 | G LOSS = 0.0288 | AVG R =0.4969 | mean_pen: 0.0000 |  
iteration 11400 | D LOSS = 1.3800 | G LOSS = 0.0377 | AVG R =0.4964 | mean_pen: 0.0000 |  
iteration 11450 | D LOSS = 1.3791 | G LOSS = 0.0257 | AVG R =0.4962 | mean_pen: 0.0000 |  
iteration 11500 | D LOSS = 1.3789 | G LOSS = 0.0381 | AVG R =0.4967 | mean_pen: 0.0000 |  
iteration 11550 | D LOSS = 1.3796 | G LOSS = 0.0334 | AVG R =0.4963 | mean_pen: 0.0000 |  
iteration 11600 | D LOSS = 1.3791 | G LOSS = 0.0462 | AVG R =0.4963 | mean_pen: 0.0000 |  
