Logging
iteration 5500 | D LOSS = 1.3499 | G LOSS = 0.0754 | AVG R =0.4819 | mean_pen: 0.0004 |  
iteration 5550 | D LOSS = 1.3505 | G LOSS = 0.0796 | AVG R =0.4822 | mean_pen: 0.0004 |  
iteration 5600 | D LOSS = 1.3504 | G LOSS = 0.1069 | AVG R =0.4817 | mean_pen: 0.0004 |  
iteration 5650 | D LOSS = 1.3501 | G LOSS = 0.0983 | AVG R =0.4826 | mean_pen: 0.0004 |  
iteration 5700 | D LOSS = 1.3518 | G LOSS = 0.0725 | AVG R =0.4818 | mean_pen: 0.0003 |  
iteration 5750 | D LOSS = 1.3497 | G LOSS = 0.0956 | AVG R =0.4828 | mean_pen: 0.0003 |  
iteration 5800 | D LOSS = 1.3510 | G LOSS = 0.0986 | AVG R =0.4817 | mean_pen: 0.0003 |  
iteration 5850 | D LOSS = 1.3500 | G LOSS = 0.1039 | AVG R =0.4823 | mean_pen: 0.0004 |  
iteration 5900 | D LOSS = 1.3514 | G LOSS = 0.0901 | AVG R =0.4821 | mean_pen: 0.0004 |  
iteration 5950 | D LOSS = 1.3526 | G LOSS = 0.1460 | AVG R =0.4822 | mean_pen: 0.0004 |  
iteration 6000 | D LOSS = 1.3499 | G LOSS = 0.1075 | AVG R =0.4814 | mean_pen: 0.0005 |  
iteration 6050 | D LOSS = 1.3494 | G LOSS = 0.0876 | AVG R =0.4821 | mean_pen: 0.0004 |  
iteration 6100 | D LOSS = 1.3496 | G LOSS = 0.0903 | AVG R =0.4813 | mean_pen: 0.0003 |  
iteration 6150 | D LOSS = 1.3494 | G LOSS = 0.0877 | AVG R =0.4811 | mean_pen: 0.0004 |  
iteration 6200 | D LOSS = 1.3485 | G LOSS = 0.1042 | AVG R =0.4813 | mean_pen: 0.0004 |  
iteration 6250 | D LOSS = 1.3473 | G LOSS = 0.0983 | AVG R =0.4811 | mean_pen: 0.0003 |  
iteration 6300 | D LOSS = 1.3483 | G LOSS = 0.0763 | AVG R =0.4829 | mean_pen: 0.0003 |  
iteration 6350 | D LOSS = 1.3491 | G LOSS = 0.0737 | AVG R =0.4814 | mean_pen: 0.0003 |  
iteration 6400 | D LOSS = 1.3472 | G LOSS = 0.0701 | AVG R =0.4807 | mean_pen: 0.0003 |  
iteration 6450 | D LOSS = 1.3494 | G LOSS = 0.0805 | AVG R =0.4812 | mean_pen: 0.0003 |  
