Logging
iteration 10000 | D LOSS = 1.3699 | G LOSS = 0.0123 | AVG R =0.4925 | mean_pen: 0.0001 |  
iteration 10050 | D LOSS = 1.3706 | G LOSS = 0.0089 | AVG R =0.4921 | mean_pen: 0.0001 |  
iteration 10100 | D LOSS = 1.3717 | G LOSS = 0.0135 | AVG R =0.4923 | mean_pen: 0.0001 |  
iteration 10150 | D LOSS = 1.3723 | G LOSS = 0.0146 | AVG R =0.4922 | mean_pen: 0.0001 |  
iteration 10200 | D LOSS = 1.3712 | G LOSS = 0.0115 | AVG R =0.4927 | mean_pen: 0.0001 |  
iteration 10250 | D LOSS = 1.3709 | G LOSS = 0.0160 | AVG R =0.4924 | mean_pen: 0.0001 |  
iteration 10300 | D LOSS = 1.3710 | G LOSS = 0.0108 | AVG R =0.4922 | mean_pen: 0.0001 |  
iteration 10350 | D LOSS = 1.3730 | G LOSS = 0.0125 | AVG R =0.4925 | mean_pen: 0.0001 |  
iteration 10400 | D LOSS = 1.3724 | G LOSS = 0.0136 | AVG R =0.4927 | mean_pen: 0.0001 |  
iteration 10450 | D LOSS = 1.3723 | G LOSS = 0.0176 | AVG R =0.4927 | mean_pen: 0.0001 |  
iteration 10500 | D LOSS = 1.3720 | G LOSS = 0.0174 | AVG R =0.4931 | mean_pen: 0.0001 |  
iteration 10550 | D LOSS = 1.3716 | G LOSS = 0.0155 | AVG R =0.4922 | mean_pen: 0.0001 |  
iteration 10600 | D LOSS = 1.3708 | G LOSS = 0.0126 | AVG R =0.4924 | mean_pen: 0.0001 |  
iteration 10650 | D LOSS = 1.3713 | G LOSS = 0.0144 | AVG R =0.4925 | mean_pen: 0.0001 |  
iteration 10700 | D LOSS = 1.3730 | G LOSS = 0.0107 | AVG R =0.4933 | mean_pen: 0.0001 |  
iteration 10750 | D LOSS = 1.3724 | G LOSS = 0.0139 | AVG R =0.4927 | mean_pen: 0.0001 |  
iteration 10800 | D LOSS = 1.3731 | G LOSS = 0.0171 | AVG R =0.4930 | mean_pen: 0.0001 |  
iteration 10850 | D LOSS = 1.3715 | G LOSS = 0.0097 | AVG R =0.4928 | mean_pen: 0.0001 |  
iteration 10900 | D LOSS = 1.3728 | G LOSS = 0.0140 | AVG R =0.4932 | mean_pen: 0.0001 |  
iteration 10950 | D LOSS = 1.3719 | G LOSS = 0.0160 | AVG R =0.4929 | mean_pen: 0.0001 |  
iteration 11000 | D LOSS = 1.3728 | G LOSS = 0.0155 | AVG R =0.4929 | mean_pen: 0.0001 |  
iteration 11050 | D LOSS = 1.3733 | G LOSS = 0.0135 | AVG R =0.4928 | mean_pen: 0.0001 |  
iteration 11100 | D LOSS = 1.3727 | G LOSS = 0.0110 | AVG R =0.4925 | mean_pen: 0.0001 |  
iteration 11150 | D LOSS = 1.3726 | G LOSS = 0.0129 | AVG R =0.4938 | mean_pen: 0.0001 |  
iteration 11200 | D LOSS = 1.3734 | G LOSS = 0.0117 | AVG R =0.4934 | mean_pen: 0.0001 |  
iteration 11250 | D LOSS = 1.3726 | G LOSS = 0.0141 | AVG R =0.4936 | mean_pen: 0.0001 |  
iteration 11300 | D LOSS = 1.3725 | G LOSS = 0.0168 | AVG R =0.4930 | mean_pen: 0.0001 |  
iteration 11350 | D LOSS = 1.3724 | G LOSS = 0.0174 | AVG R =0.4924 | mean_pen: 0.0001 |  
iteration 11400 | D LOSS = 1.3720 | G LOSS = 0.0192 | AVG R =0.4930 | mean_pen: 0.0001 |  
iteration 11450 | D LOSS = 1.3732 | G LOSS = 0.0164 | AVG R =0.4928 | mean_pen: 0.0001 |  
iteration 11500 | D LOSS = 1.3735 | G LOSS = 0.0152 | AVG R =0.4931 | mean_pen: 0.0001 |  
iteration 11550 | D LOSS = 1.3720 | G LOSS = 0.0109 | AVG R =0.4934 | mean_pen: 0.0001 |  
iteration 11600 | D LOSS = 1.3718 | G LOSS = 0.0117 | AVG R =0.4931 | mean_pen: 0.0001 |  
