tag,iters,data_size,seed,cwc,r2r_auc,r2r_acc,s2h_auc,s2h_acc,s2r_auc,s2r_acc,r2s_auc,r2s_acc,rvs_auc,rvs_acc,real_mem_auc,real_mem_auc_bal,synth_mem_auc,synth_mem_auc_bal,elapsed_time
rl_trial9_seed2,30000,0.9,2,929.7018709347057,0.8765925089588122,0.8050751528958248,0.8035847635530342,0.7061814109742441,0.8390050115516159,0.7593200682704027,0.8317684282300458,0.7607999999999999,0.9892112329899256,0.9473220528427504,1.0,0.9069767441860463,0.5485966606182684,0.5408082993264172,8.719587890307109
rl_trial9_seed3,30000,0.9,3,1152.0216481404057,0.8654651173253688,0.8072943242211711,0.8729615180040632,0.767816091954023,0.860244438700662,0.7733119513170682,0.8647863935800612,0.7882,0.9888064974510222,0.9512891164830628,1.0,0.8919540229885059,0.4838707779216194,0.5095891134892324,8.522844672203064
rl_trial9_seed4,30000,0.9,4,1059.6716826309344,0.8627252124199274,0.7981288807517424,0.8440781262632389,0.7283437826541275,0.8555502862193318,0.78153995055537,0.8568724254289274,0.7768,0.9892640476259236,0.9472126497003714,1.0,0.9041095890410958,0.5156266535662446,0.5171311065240507,8.694848382472992
rl_trial9_seed5,30000,0.9,5,898.614722666364,0.8664849072599177,0.8040733142331888,0.8313509202982887,0.7380315336837076,0.8600605981450984,0.7884164332184814,0.8596073773078887,0.7854000000000001,0.9862298865688124,0.9391665679547808,1.0,0.9082969432314412,0.5630297262258174,0.5698880646822143,8.598495117823283
rl_trial9_seed6,30000,0.9,6,914.8278937155332,0.8648276468656799,0.7991112337655778,0.8291984509959457,0.7625895843287147,0.8723148040311841,0.7971827883242975,0.8518349323706647,0.7768,0.9853312414681776,0.9350897974432104,1.0,0.8845315904139434,0.4855404043803778,0.4996796104062539,8.643744214375813
rl_trial9_seed7,30000,0.9,7,852.8838684037635,0.8756561111940215,0.8059880649986251,0.8785966386554621,0.8026373626373626,0.8655489701972368,0.7903597377160241,0.8356765001756399,0.7567999999999999,0.9821029214567576,0.929139201982742,1.0,0.902439024390244,0.5998976549637343,0.6024994960693408,8.648476521174112
rl_trial9_seed8,30000,0.9,8,1090.301825639688,0.8726480628756587,0.8107397705102011,0.8266904549509366,0.7545760572270146,0.8670757721961811,0.7900009740137459,0.8592098627089338,0.7734,0.9902029838891094,0.9533834485984432,1.0,0.8997955010224947,0.5439743527566947,0.537520753091531,8.67451471487681
rl_trial9_seed9,30000,0.9,9,904.8228573647332,0.8743583233447083,0.7934205580353566,0.8672334244702666,0.7995403472931563,0.8798410668938852,0.8198574567997856,0.866414788088767,0.7816000000000001,0.9788167161587478,0.9224151913036348,1.0,0.867117117117117,0.4632395344281491,0.450797926304683,8.664494295914968
ehr_trial0_seed0,2500,0.9,0,679.2782850902889,0.8734515411356998,0.8136716856729374,0.8412824675324675,0.7654562828475873,0.9213327235111108,0.8494898003926947,0.8338067912406169,0.7762,1.0,0.9996694214876033,1.0,0.8728070175438597,0.601096974855664,0.5842254347491536,3.503028666973114
ehr_trial0_seed1,2500,0.9,1,669.9798007835107,0.8714615022660344,0.8038536220980095,0.8024073074889773,0.7325643896976484,0.9167111311156028,0.8027362360324884,0.8163960106941959,0.7616,1.0,0.9998898071625344,1.0,0.9002123142250531,0.6095937728122914,0.5962987004205715,3.717197879155477
