Logging
iteration 6600 | D LOSS = 1.3709 | G LOSS = 0.7098 | mean_pen: 0.0001 |  
iteration 6650 | D LOSS = 1.3737 | G LOSS = 0.7059 | mean_pen: 0.0001 |  
iteration 6700 | D LOSS = 1.3738 | G LOSS = 0.7101 | mean_pen: 0.0001 |  
iteration 6750 | D LOSS = 1.3725 | G LOSS = 0.7087 | mean_pen: 0.0001 |  
iteration 6800 | D LOSS = 1.3741 | G LOSS = 0.7081 | mean_pen: 0.0001 |  
iteration 6850 | D LOSS = 1.3718 | G LOSS = 0.7079 | mean_pen: 0.0001 |  
iteration 6900 | D LOSS = 1.3740 | G LOSS = 0.7074 | mean_pen: 0.0001 |  
iteration 6950 | D LOSS = 1.3741 | G LOSS = 0.7080 | mean_pen: 0.0001 |  
iteration 7000 | D LOSS = 1.3749 | G LOSS = 0.7078 | mean_pen: 0.0001 |  
iteration 7050 | D LOSS = 1.3769 | G LOSS = 0.7057 | mean_pen: 0.0001 |  
iteration 7100 | D LOSS = 1.3741 | G LOSS = 0.7051 | mean_pen: 0.0001 |  
iteration 7150 | D LOSS = 1.3735 | G LOSS = 0.7045 | mean_pen: 0.0001 |  
iteration 7200 | D LOSS = 1.3733 | G LOSS = 0.7056 | mean_pen: 0.0001 |  
iteration 7250 | D LOSS = 1.3695 | G LOSS = 0.7048 | mean_pen: 0.0001 |  
iteration 7300 | D LOSS = 1.3732 | G LOSS = 0.7035 | mean_pen: 0.0001 |  
iteration 7350 | D LOSS = 1.3766 | G LOSS = 0.7047 | mean_pen: 0.0001 |  
iteration 7400 | D LOSS = 1.3726 | G LOSS = 0.7046 | mean_pen: 0.0002 |  
iteration 7450 | D LOSS = 1.3763 | G LOSS = 0.7047 | mean_pen: 0.0001 |  
iteration 7500 | D LOSS = 1.3753 | G LOSS = 0.7063 | mean_pen: 0.0001 |  
iteration 7550 | D LOSS = 1.3722 | G LOSS = 0.7058 | mean_pen: 0.0002 |  
iteration 7600 | D LOSS = 1.3749 | G LOSS = 0.7079 | mean_pen: 0.0002 |  
iteration 7650 | D LOSS = 1.3738 | G LOSS = 0.7077 | mean_pen: 0.0002 |  
