Logging
ITERATION 250.0000 | TOTAL G LOSS 4.6964
ITERATION 251.0000 | TOTAL G LOSS -1.8181
ITERATION 252.0000 | TOTAL G LOSS -0.1908
ITERATION 253.0000 | TOTAL G LOSS 3.7285
ITERATION 254.0000 | TOTAL G LOSS 2.7906
ITERATION 255.0000 | TOTAL G LOSS 3.3598
ITERATION 256.0000 | TOTAL G LOSS 0.8533
ITERATION 257.0000 | TOTAL G LOSS 4.1156
ITERATION 258.0000 | TOTAL G LOSS 5.0308
ITERATION 259.0000 | TOTAL G LOSS 1.1230
ITERATION 260.0000 | TOTAL G LOSS 1.5569
ITERATION 261.0000 | TOTAL G LOSS 3.1919
ITERATION 262.0000 | TOTAL G LOSS 2.2434
ITERATION 263.0000 | TOTAL G LOSS -0.0483
ITERATION 264.0000 | TOTAL G LOSS 5.1952
ITERATION 265.0000 | TOTAL G LOSS 0.0853
ITERATION 266.0000 | TOTAL G LOSS 4.6001
ITERATION 267.0000 | TOTAL G LOSS 0.6771
ITERATION 268.0000 | TOTAL G LOSS 2.5653
ITERATION 269.0000 | TOTAL G LOSS 5.2991
ITERATION 270.0000 | TOTAL G LOSS 3.5342
ITERATION 271.0000 | TOTAL G LOSS 4.1551
ITERATION 272.0000 | TOTAL G LOSS 0.3291
ITERATION 273.0000 | TOTAL G LOSS 1.3493
ITERATION 274.0000 | TOTAL G LOSS -0.2298
ITERATION 275.0000 | TOTAL G LOSS -0.0082
ITERATION 276.0000 | TOTAL G LOSS 0.6460
ITERATION 277.0000 | TOTAL G LOSS 2.5959
ITERATION 278.0000 | TOTAL G LOSS 1.8597
ITERATION 279.0000 | TOTAL G LOSS 3.9526
ITERATION 280.0000 | TOTAL G LOSS 0.2752
ITERATION 281.0000 | TOTAL G LOSS -3.5968
ITERATION 282.0000 | TOTAL G LOSS 0.9052
ITERATION 283.0000 | TOTAL G LOSS -1.2313
ITERATION 284.0000 | TOTAL G LOSS -0.5684
ITERATION 285.0000 | TOTAL G LOSS 0.0675
ITERATION 286.0000 | TOTAL G LOSS -1.8407
ITERATION 287.0000 | TOTAL G LOSS -2.3635
ITERATION 288.0000 | TOTAL G LOSS -2.6338
ITERATION 289.0000 | TOTAL G LOSS -1.7307
ITERATION 290.0000 | TOTAL G LOSS -0.5772
ITERATION 291.0000 | TOTAL G LOSS -3.4585
ITERATION 292.0000 | TOTAL G LOSS -1.6234
ITERATION 293.0000 | TOTAL G LOSS 0.4748
ITERATION 294.0000 | TOTAL G LOSS 0.3613
ITERATION 295.0000 | TOTAL G LOSS -1.2249
ITERATION 296.0000 | TOTAL G LOSS -0.7729
ITERATION 297.0000 | TOTAL G LOSS -2.0680
ITERATION 298.0000 | TOTAL G LOSS -5.1378
ITERATION 299.0000 | TOTAL G LOSS -0.7151
ITERATION 300.0000 | TOTAL G LOSS -2.6512
ITERATION 301.0000 | TOTAL G LOSS -2.2661
ITERATION 302.0000 | TOTAL G LOSS -1.1164
ITERATION 303.0000 | TOTAL G LOSS 1.1609
ITERATION 304.0000 | TOTAL G LOSS -2.9578
ITERATION 305.0000 | TOTAL G LOSS -1.0514
ITERATION 306.0000 | TOTAL G LOSS 1.5675
ITERATION 307.0000 | TOTAL G LOSS 0.9727
ITERATION 308.0000 | TOTAL G LOSS -1.8467
ITERATION 309.0000 | TOTAL G LOSS -1.1088
ITERATION 310.0000 | TOTAL G LOSS 0.3125
ITERATION 311.0000 | TOTAL G LOSS -0.7671
ITERATION 312.0000 | TOTAL G LOSS -2.7460
ITERATION 313.0000 | TOTAL G LOSS -2.0021
ITERATION 314.0000 | TOTAL G LOSS 0.2223
ITERATION 315.0000 | TOTAL G LOSS 1.0983
ITERATION 316.0000 | TOTAL G LOSS -0.5117
ITERATION 317.0000 | TOTAL G LOSS -1.0422
ITERATION 318.0000 | TOTAL G LOSS 1.8018
ITERATION 319.0000 | TOTAL G LOSS 1.9960
ITERATION 320.0000 | TOTAL G LOSS 4.9356
ITERATION 321.0000 | TOTAL G LOSS 2.5856
ITERATION 322.0000 | TOTAL G LOSS 1.5038
ITERATION 323.0000 | TOTAL G LOSS -3.2196
ITERATION 324.0000 | TOTAL G LOSS 3.3323
ITERATION 325.0000 | TOTAL G LOSS 2.1720
ITERATION 326.0000 | TOTAL G LOSS 0.8520
ITERATION 327.0000 | TOTAL G LOSS 1.7391
ITERATION 328.0000 | TOTAL G LOSS 0.5472
ITERATION 329.0000 | TOTAL G LOSS 3.5944
ITERATION 330.0000 | TOTAL G LOSS 4.2547
ITERATION 331.0000 | TOTAL G LOSS 2.7545
ITERATION 332.0000 | TOTAL G LOSS 3.4618
ITERATION 333.0000 | TOTAL G LOSS 6.3455
ITERATION 334.0000 | TOTAL G LOSS 4.0925
ITERATION 335.0000 | TOTAL G LOSS 0.9465
ITERATION 336.0000 | TOTAL G LOSS 4.5545
ITERATION 337.0000 | TOTAL G LOSS -1.2842
ITERATION 338.0000 | TOTAL G LOSS 6.3790
ITERATION 339.0000 | TOTAL G LOSS 4.8909
ITERATION 340.0000 | TOTAL G LOSS 2.0500
ITERATION 341.0000 | TOTAL G LOSS 2.0211
ITERATION 342.0000 | TOTAL G LOSS 3.5619
ITERATION 343.0000 | TOTAL G LOSS 3.1181
ITERATION 344.0000 | TOTAL G LOSS 5.4120
ITERATION 345.0000 | TOTAL G LOSS 3.4207
ITERATION 346.0000 | TOTAL G LOSS 1.8429
ITERATION 347.0000 | TOTAL G LOSS 0.7093
ITERATION 348.0000 | TOTAL G LOSS 1.4908
ITERATION 349.0000 | TOTAL G LOSS 2.3967
ITERATION 350.0000 | TOTAL G LOSS 2.8804
ITERATION 351.0000 | TOTAL G LOSS 4.4794
ITERATION 352.0000 | TOTAL G LOSS 4.4626
ITERATION 353.0000 | TOTAL G LOSS 4.0029
ITERATION 354.0000 | TOTAL G LOSS 4.0508
ITERATION 355.0000 | TOTAL G LOSS 2.4645
ITERATION 356.0000 | TOTAL G LOSS 5.3447
ITERATION 357.0000 | TOTAL G LOSS 1.5950
ITERATION 358.0000 | TOTAL G LOSS 0.9940
ITERATION 359.0000 | TOTAL G LOSS 5.0784
ITERATION 360.0000 | TOTAL G LOSS 6.4702
ITERATION 361.0000 | TOTAL G LOSS 4.0488
ITERATION 362.0000 | TOTAL G LOSS 4.7755
ITERATION 363.0000 | TOTAL G LOSS 3.4072
ITERATION 364.0000 | TOTAL G LOSS 3.4561
ITERATION 365.0000 | TOTAL G LOSS 3.3287
ITERATION 366.0000 | TOTAL G LOSS 8.2848
ITERATION 367.0000 | TOTAL G LOSS 2.5482
ITERATION 368.0000 | TOTAL G LOSS 4.2454
ITERATION 369.0000 | TOTAL G LOSS 4.1020
ITERATION 370.0000 | TOTAL G LOSS 5.0674
ITERATION 371.0000 | TOTAL G LOSS 4.4494
ITERATION 372.0000 | TOTAL G LOSS 2.3495
ITERATION 373.0000 | TOTAL G LOSS 4.1748
ITERATION 374.0000 | TOTAL G LOSS 3.9275
ITERATION 375.0000 | TOTAL G LOSS 4.6518
ITERATION 376.0000 | TOTAL G LOSS 4.5977
ITERATION 377.0000 | TOTAL G LOSS 7.1069
ITERATION 378.0000 | TOTAL G LOSS 8.2963
ITERATION 379.0000 | TOTAL G LOSS 6.5043
ITERATION 380.0000 | TOTAL G LOSS 4.8520
ITERATION 381.0000 | TOTAL G LOSS 5.7618
ITERATION 382.0000 | TOTAL G LOSS 9.2790
ITERATION 383.0000 | TOTAL G LOSS 7.2037
ITERATION 384.0000 | TOTAL G LOSS 8.3440
ITERATION 385.0000 | TOTAL G LOSS 6.3940
ITERATION 386.0000 | TOTAL G LOSS 6.2405
ITERATION 387.0000 | TOTAL G LOSS 7.4196
ITERATION 388.0000 | TOTAL G LOSS 11.3771
ITERATION 389.0000 | TOTAL G LOSS 9.4353
ITERATION 390.0000 | TOTAL G LOSS 8.9344
ITERATION 391.0000 | TOTAL G LOSS 6.4421
ITERATION 392.0000 | TOTAL G LOSS 5.1017
ITERATION 393.0000 | TOTAL G LOSS 8.0794
ITERATION 394.0000 | TOTAL G LOSS 7.8261
ITERATION 395.0000 | TOTAL G LOSS 7.5677
ITERATION 396.0000 | TOTAL G LOSS 9.7893
ITERATION 397.0000 | TOTAL G LOSS 4.2681
ITERATION 398.0000 | TOTAL G LOSS 9.2810
ITERATION 399.0000 | TOTAL G LOSS 6.4198
ITERATION 400.0000 | TOTAL G LOSS 8.7316
ITERATION 401.0000 | TOTAL G LOSS 7.4496
ITERATION 402.0000 | TOTAL G LOSS 8.0782
ITERATION 403.0000 | TOTAL G LOSS 8.8338
ITERATION 404.0000 | TOTAL G LOSS 9.4247
ITERATION 405.0000 | TOTAL G LOSS 9.6080
ITERATION 406.0000 | TOTAL G LOSS 8.6356
ITERATION 407.0000 | TOTAL G LOSS 8.0591
ITERATION 408.0000 | TOTAL G LOSS 7.8012
ITERATION 409.0000 | TOTAL G LOSS 9.7618
ITERATION 410.0000 | TOTAL G LOSS 10.3298
ITERATION 411.0000 | TOTAL G LOSS 7.7808
ITERATION 412.0000 | TOTAL G LOSS 6.6092
ITERATION 413.0000 | TOTAL G LOSS 8.4117
ITERATION 414.0000 | TOTAL G LOSS 6.3192
ITERATION 415.0000 | TOTAL G LOSS 9.5577
ITERATION 416.0000 | TOTAL G LOSS 7.6328
ITERATION 417.0000 | TOTAL G LOSS 7.1339
ITERATION 418.0000 | TOTAL G LOSS 6.1557
ITERATION 419.0000 | TOTAL G LOSS 8.4766
ITERATION 420.0000 | TOTAL G LOSS 5.2635
ITERATION 421.0000 | TOTAL G LOSS 5.8835
ITERATION 422.0000 | TOTAL G LOSS 6.5843
ITERATION 423.0000 | TOTAL G LOSS 9.1764
ITERATION 424.0000 | TOTAL G LOSS 4.0174
ITERATION 425.0000 | TOTAL G LOSS 6.0820
ITERATION 426.0000 | TOTAL G LOSS 6.8373
ITERATION 427.0000 | TOTAL G LOSS 4.1643
ITERATION 428.0000 | TOTAL G LOSS 7.6544
ITERATION 429.0000 | TOTAL G LOSS 6.4204
ITERATION 430.0000 | TOTAL G LOSS 7.3744
ITERATION 431.0000 | TOTAL G LOSS 6.0700
ITERATION 432.0000 | TOTAL G LOSS 5.5671
ITERATION 433.0000 | TOTAL G LOSS 4.8794
ITERATION 434.0000 | TOTAL G LOSS 9.2646
ITERATION 435.0000 | TOTAL G LOSS 4.7816
ITERATION 436.0000 | TOTAL G LOSS 3.5952
ITERATION 437.0000 | TOTAL G LOSS 6.4036
ITERATION 438.0000 | TOTAL G LOSS 5.5758
ITERATION 439.0000 | TOTAL G LOSS 4.7220
ITERATION 440.0000 | TOTAL G LOSS 5.4648
ITERATION 441.0000 | TOTAL G LOSS 2.8187
ITERATION 442.0000 | TOTAL G LOSS 4.3749
ITERATION 443.0000 | TOTAL G LOSS 6.0351
ITERATION 444.0000 | TOTAL G LOSS 2.3320
ITERATION 445.0000 | TOTAL G LOSS 3.4400
ITERATION 446.0000 | TOTAL G LOSS 1.3468
ITERATION 447.0000 | TOTAL G LOSS 4.3242
ITERATION 448.0000 | TOTAL G LOSS 5.0762
ITERATION 449.0000 | TOTAL G LOSS 3.6292
ITERATION 450.0000 | TOTAL G LOSS 1.5311
ITERATION 451.0000 | TOTAL G LOSS 1.3880
ITERATION 452.0000 | TOTAL G LOSS 4.7857
ITERATION 453.0000 | TOTAL G LOSS 4.9526
ITERATION 454.0000 | TOTAL G LOSS 1.3924
ITERATION 455.0000 | TOTAL G LOSS 1.2770
ITERATION 456.0000 | TOTAL G LOSS 0.8089
ITERATION 457.0000 | TOTAL G LOSS 0.5945
ITERATION 458.0000 | TOTAL G LOSS 1.8271
ITERATION 459.0000 | TOTAL G LOSS 1.1683
ITERATION 460.0000 | TOTAL G LOSS 1.3842
ITERATION 461.0000 | TOTAL G LOSS 3.9812
ITERATION 462.0000 | TOTAL G LOSS 3.7034
ITERATION 463.0000 | TOTAL G LOSS -0.9725
ITERATION 464.0000 | TOTAL G LOSS 2.2421
ITERATION 465.0000 | TOTAL G LOSS 1.0038
