Logging
iteration 7200 | D LOSS = 1.1940 | G LOSS = -12323402022912.0000 | AVG R =0.4056 |  
iteration 7250 | D LOSS = 1.1889 | G LOSS = -18177920598016.0000 | AVG R =0.4011 |  
iteration 7300 | D LOSS = 1.2025 | G LOSS = -21903355936768.0000 | AVG R =0.4138 |  
iteration 7350 | D LOSS = 1.1965 | G LOSS = -29384442380288.0000 | AVG R =0.4113 |  
iteration 7400 | D LOSS = 1.1960 | G LOSS = -33002344153088.0000 | AVG R =0.4081 |  
iteration 7450 | D LOSS = 1.2039 | G LOSS = -41822277599232.0000 | AVG R =0.4097 |  
iteration 7500 | D LOSS = 1.2177 | G LOSS = -39638232203264.0000 | AVG R =0.4131 |  
iteration 7550 | D LOSS = 1.2172 | G LOSS = -38454964518912.0000 | AVG R =0.4109 |  
iteration 7600 | D LOSS = 1.2026 | G LOSS = -58743685382144.0000 | AVG R =0.4057 |  
iteration 7650 | D LOSS = 1.2135 | G LOSS = -54053799198720.0000 | AVG R =0.4107 |  
iteration 7700 | D LOSS = 1.2068 | G LOSS = -95433955213312.0000 | AVG R =0.4132 |  
iteration 7750 | D LOSS = 1.2027 | G LOSS = -87488685146112.0000 | AVG R =0.4083 |  
iteration 7800 | D LOSS = 1.2213 | G LOSS = -84536222285824.0000 | AVG R =0.4259 |  
iteration 7850 | D LOSS = 1.2119 | G LOSS = -128486882672640.0000 | AVG R =0.4177 |  
iteration 7900 | D LOSS = 1.2036 | G LOSS = -130450529976320.0000 | AVG R =0.4070 |  
iteration 7950 | D LOSS = 1.2022 | G LOSS = -179626387177472.0000 | AVG R =0.4097 |  
iteration 8000 | D LOSS = 1.1971 | G LOSS = -177252998316032.0000 | AVG R =0.4009 |  
iteration 8050 | D LOSS = 1.1826 | G LOSS = -279763096698880.0000 | AVG R =0.3935 |  
iteration 8100 | D LOSS = 1.1876 | G LOSS = -267321146867712.0000 | AVG R =0.3943 |  
iteration 8150 | D LOSS = 1.2023 | G LOSS = -211578880262144.0000 | AVG R =0.4045 |  
iteration 8200 | D LOSS = 1.1919 | G LOSS = -302957530710016.0000 | AVG R =0.4027 |  
iteration 8250 | D LOSS = 1.2015 | G LOSS = -301527877025792.0000 | AVG R =0.4056 |  
iteration 8300 | D LOSS = 1.2031 | G LOSS = -427061046935552.0000 | AVG R =0.4107 |  
iteration 8350 | D LOSS = 1.1967 | G LOSS = -457571253092352.0000 | AVG R =0.4098 |  
iteration 8400 | D LOSS = 1.2095 | G LOSS = -534819092037632.0000 | AVG R =0.4114 |  
iteration 8450 | D LOSS = 1.2115 | G LOSS = -581042100502528.0000 | AVG R =0.4132 |  
iteration 8500 | D LOSS = 1.2134 | G LOSS = -959124581908480.0000 | AVG R =0.4155 |  
iteration 8550 | D LOSS = 1.2190 | G LOSS = -645379368419328.0000 | AVG R =0.4187 |  
iteration 8600 | D LOSS = 1.2069 | G LOSS = -1014190693154816.0000 | AVG R =0.4122 |  
iteration 8650 | D LOSS = 1.1968 | G LOSS = -996897342881792.0000 | AVG R =0.4065 |  
iteration 8700 | D LOSS = 1.2161 | G LOSS = -917654793617408.0000 | AVG R =0.4160 |  
iteration 8750 | D LOSS = 1.2034 | G LOSS = -1265202070814720.0000 | AVG R =0.4077 |  
iteration 8800 | D LOSS = 1.2015 | G LOSS = -1336225260634112.0000 | AVG R =0.4076 |  
iteration 8850 | D LOSS = 1.1963 | G LOSS = -1872821563162624.0000 | AVG R =0.4048 |  
iteration 8900 | D LOSS = 1.2024 | G LOSS = -2040877459439616.0000 | AVG R =0.4083 |  
iteration 8950 | D LOSS = 1.2124 | G LOSS = -1861555192856576.0000 | AVG R =0.4127 |  
iteration 9000 | D LOSS = 1.2171 | G LOSS = -1637599491915776.0000 | AVG R =0.4139 |  
iteration 9050 | D LOSS = 1.2027 | G LOSS = -2844048960258048.0000 | AVG R =0.4092 |  
iteration 9100 | D LOSS = 1.2064 | G LOSS = -2702181090197504.0000 | AVG R =0.4098 |  
iteration 9150 | D LOSS = 1.2236 | G LOSS = -1328408822808576.0000 | AVG R =0.4173 |  
iteration 9200 | D LOSS = 1.2166 | G LOSS = -2646922846273536.0000 | AVG R =0.4133 |  
iteration 9250 | D LOSS = 1.2069 | G LOSS = -2487609624363008.0000 | AVG R =0.4113 |  
iteration 9300 | D LOSS = 1.1969 | G LOSS = -4854840979095552.0000 | AVG R =0.4076 |  
iteration 9350 | D LOSS = 1.2104 | G LOSS = -4341197250232320.0000 | AVG R =0.4179 |  
iteration 9400 | D LOSS = 1.2085 | G LOSS = -5717694003281920.0000 | AVG R =0.4147 |  
iteration 9450 | D LOSS = 1.2140 | G LOSS = -5602914760392704.0000 | AVG R =0.4153 |  
iteration 9500 | D LOSS = 1.2144 | G LOSS = -7066258436521984.0000 | AVG R =0.4141 |  
iteration 9550 | D LOSS = 1.2081 | G LOSS = -7331416295604224.0000 | AVG R =0.4126 |  
iteration 9600 | D LOSS = 1.2059 | G LOSS = -8738183978156032.0000 | AVG R =0.4087 |  
iteration 9650 | D LOSS = 1.2164 | G LOSS = -8387046779387904.0000 | AVG R =0.4117 |  
iteration 9700 | D LOSS = 1.2154 | G LOSS = -10219936957857792.0000 | AVG R =0.4138 |  
iteration 9750 | D LOSS = 1.2073 | G LOSS = -9690343867940864.0000 | AVG R =0.4105 |  
iteration 9800 | D LOSS = 1.2111 | G LOSS = -9465660170043392.0000 | AVG R =0.4070 |  
iteration 9850 | D LOSS = 1.1962 | G LOSS = -12771810030387200.0000 | AVG R =0.4048 |  
iteration 9900 | D LOSS = 1.1861 | G LOSS = -14924184572395520.0000 | AVG R =0.4009 |  
iteration 9950 | D LOSS = 1.2032 | G LOSS = -15802232654004224.0000 | AVG R =0.4119 |  
iteration 10000 | D LOSS = 1.2058 | G LOSS = -14841580540133376.0000 | AVG R =0.4108 |  
iteration 10050 | D LOSS = 1.2115 | G LOSS = -18433179295678464.0000 | AVG R =0.4107 |  
iteration 10100 | D LOSS = 1.2170 | G LOSS = -21545903156363264.0000 | AVG R =0.4193 |  
iteration 10150 | D LOSS = 1.2133 | G LOSS = -23307284276838400.0000 | AVG R =0.4131 |  
iteration 10200 | D LOSS = 1.2097 | G LOSS = -26493512207826944.0000 | AVG R =0.4168 |  
iteration 10250 | D LOSS = 1.1945 | G LOSS = -27924440692031488.0000 | AVG R =0.4048 |  
iteration 10300 | D LOSS = 1.1923 | G LOSS = -37498947144515584.0000 | AVG R =0.4078 |  
iteration 10350 | D LOSS = 1.1978 | G LOSS = -27046882236694528.0000 | AVG R =0.4062 |  
iteration 10400 | D LOSS = 1.1938 | G LOSS = -40063351857872896.0000 | AVG R =0.4006 |  
iteration 10450 | D LOSS = 1.2054 | G LOSS = -30949070478508032.0000 | AVG R =0.4118 |  
iteration 10500 | D LOSS = 1.1939 | G LOSS = -44901357638909952.0000 | AVG R =0.4049 |  
iteration 10550 | D LOSS = 1.1976 | G LOSS = -49923492962893824.0000 | AVG R =0.4081 |  
iteration 10600 | D LOSS = 1.1898 | G LOSS = -47006660413095936.0000 | AVG R =0.4091 |  
iteration 10650 | D LOSS = 1.1924 | G LOSS = -58094530804580352.0000 | AVG R =0.4054 |  
iteration 10700 | D LOSS = 1.2081 | G LOSS = -38866593580580864.0000 | AVG R =0.4057 |  
iteration 10750 | D LOSS = 1.1972 | G LOSS = -77846531348103168.0000 | AVG R =0.4026 |  
iteration 10800 | D LOSS = 1.2051 | G LOSS = -74122786112536576.0000 | AVG R =0.4080 |  
iteration 10850 | D LOSS = 1.2120 | G LOSS = -77275670064922624.0000 | AVG R =0.4113 |  
iteration 10900 | D LOSS = 1.2056 | G LOSS = -92282182717931520.0000 | AVG R =0.4062 |  
iteration 10950 | D LOSS = 1.2176 | G LOSS = -63770214122127360.0000 | AVG R =0.4164 |  
iteration 11000 | D LOSS = 1.2155 | G LOSS = -98216212613300224.0000 | AVG R =0.4158 |  
iteration 11050 | D LOSS = 1.2029 | G LOSS = -112451959025303552.0000 | AVG R =0.4060 |  
iteration 11100 | D LOSS = 1.1993 | G LOSS = -102412739258875904.0000 | AVG R =0.4095 |  
iteration 11150 | D LOSS = 1.1898 | G LOSS = -127230658022998016.0000 | AVG R =0.4063 |  
iteration 11200 | D LOSS = 1.2043 | G LOSS = -83645733630115840.0000 | AVG R =0.4118 |  
iteration 11250 | D LOSS = 1.2034 | G LOSS = -134508239587901440.0000 | AVG R =0.4056 |  
iteration 11300 | D LOSS = 1.2006 | G LOSS = -123611581140434944.0000 | AVG R =0.4043 |  
iteration 11350 | D LOSS = 1.2061 | G LOSS = -177306901497774080.0000 | AVG R =0.4042 |  
iteration 11400 | D LOSS = 1.1973 | G LOSS = -225330116245323776.0000 | AVG R =0.4048 |  
